# Aftershock (MNQ 08:30 Range Fade — Mon/Wed/Fri) - best return-on-drawdown window 02 May 2025 to 21 Aug 2026 - closed trades at Multiplier 5 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
02 May 25,21329.25,21455.0,-2530.0
02 May 25,21300.0,21455.0,-1557.5
05 May 25,21214.0,21324.5,-2225.0
07 May 25,21167.75,21043.75,2465.0
07 May 25,21144.75,21043.75,1002.5
09 May 25,21379.5,21321.0,-1185.0
12 May 25,22072.25,21957.0,-2320.0
14 May 25,22504.5,22592.75,1750.0
16 May 25,22634.5,22649.5,285.0
16 May 25,22642.75,22649.5,60.0
19 May 25,22425.75,22529.75,-2095.0
21 May 25,22471.5,22740.75,5370.0
23 May 25,21972.5,22161.0,3755.0
26 May 25,22465.0,22488.75,460.0
28 May 25,22696.5,22671.5,-515.0
28 May 25,22712.25,22671.5,-415.0
30 May 25,22457.5,22525.75,1350.0
02 Jun 25,22586.75,22638.5,-1050.0
02 Jun 25,22567.0,22638.5,-722.5
04 Jun 25,22928.0,22926.5,15.0
04 Jun 25,22918.0,22926.5,-92.5
06 Jun 25,23047.5,23014.25,650.0
06 Jun 25,23038.0,23014.25,230.0
09 Jun 25,23000.0,23032.0,625.0
13 Jun 25,22853.75,23043.5,3780.0
13 Jun 25,22863.25,23043.5,1795.0
16 Jun 25,23015.25,23177.0,3220.0
18 Jun 25,22961.25,23051.25,1785.0
18 Jun 25,22978.25,23051.25,722.5
20 Jun 25,23029.25,23113.75,-1705.0
23 Jun 25,22813.75,22925.25,2215.0
25 Jun 25,23505.25,23440.5,1280.0
27 Jun 25,23704.5,23794.25,1780.0
30 Jun 25,23846.75,23856.5,180.0
02 Jul 25,23665.25,23742.25,-1555.0
04 Jul 25,23904.0,23923.0,365.0
07 Jul 25,23949.0,23940.75,-180.0
09 Jul 25,23945.5,24015.0,-1405.0
11 Jul 25,23866.75,23976.75,2185.0
14 Jul 25,23873.5,24008.5,2685.0
16 Jul 25,23993.75,23930.0,-1290.0
18 Jul 25,24269.25,24210.0,1170.0
21 Jul 25,24250.75,24373.75,2445.0
23 Jul 25,24253.75,24231.25,435.0
23 Jul 25,24253.75,24231.25,217.5
25 Jul 25,24355.0,24442.25,1730.0
28 Jul 25,24482.25,24483.0,0.0
28 Jul 25,24491.5,24483.0,-92.5
30 Jul 25,24456.0,24529.5,1455.0
30 Jul 25,24464.25,24529.5,645.0
01 Aug 25,24008.0,23938.5,-1405.0
04 Aug 25,24087.75,24167.5,-1610.0
06 Aug 25,24186.25,24272.75,-1745.0
08 Aug 25,24557.0,24645.25,-1780.0
11 Aug 25,24696.5,24780.0,1655.0
11 Aug 25,24710.75,24780.0,685.0
13 Aug 25,25030.75,24932.0,1960.0
15 Aug 25,24865.5,24791.75,-1490.0
18 Aug 25,24774.5,24751.5,445.0
18 Aug 25,24775.25,24751.5,230.0
20 Aug 25,24378.5,24306.0,-1465.0
22 Aug 25,24205.25,24465.75,5195.0
25 Aug 25,24489.5,24575.5,-1735.0
27 Aug 25,24543.0,24598.0,1085.0
29 Aug 25,24598.25,24522.25,-1535.0
01 Sep 25,24460.75,24482.0,410.0
03 Sep 25,24450.5,24422.25,550.0
03 Sep 25,24453.0,24422.25,300.0
05 Sep 25,24892.5,24598.75,5860.0
05 Sep 25,24886.25,24598.75,2867.5
08 Sep 25,24771.25,24855.0,-1690.0
12 Sep 25,24999.0,25097.0,1945.0
15 Sep 25,25161.75,25229.5,-1370.0
17 Sep 25,25284.0,25153.5,2595.0
19 Sep 25,25515.5,25559.75,-900.0
19 Sep 25,25502.75,25559.75,-577.5
22 Sep 25,25666.0,25711.25,-920.0
24 Sep 25,25642.75,25441.0,4020.0
26 Sep 25,25346.5,25276.0,-1425.0
29 Sep 25,25655.5,25724.25,-1390.0
29 Sep 25,25644.25,25724.25,-807.5
01 Oct 25,25505.5,25693.5,3745.0
01 Oct 25,25506.5,25693.5,1862.5
03 Oct 25,25914.25,25897.0,330.0
03 Oct 25,25904.75,25897.0,70.0
06 Oct 25,25932.25,25865.0,-1360.0
06 Oct 25,25946.25,25865.0,-820.0
08 Oct 25,25829.5,25897.75,-1380.0
10 Oct 25,26100.0,25878.25,4420.0
10 Oct 25,26088.5,25878.25,2095.0
13 Oct 25,25552.5,25658.25,2100.0
13 Oct 25,25565.0,25658.25,925.0
15 Oct 25,25721.5,25716.5,-115.0
15 Oct 25,25727.5,25716.5,-117.5
17 Oct 25,25475.25,25695.75,4395.0
17 Oct 25,25490.0,25695.75,2050.0
20 Oct 25,25866.25,25994.5,-2580.0
22 Oct 25,26029.0,25819.75,4170.0
22 Oct 25,26011.75,25819.75,1912.5
27 Oct 25,26571.5,26657.75,1710.0
29 Oct 25,27031.0,26979.5,1015.0
31 Oct 25,26935.0,26828.25,-2150.0
03 Nov 25,26950.0,26890.0,1185.0
05 Nov 25,26265.5,26517.75,5030.0
07 Nov 25,25882.5,25498.25,7670.0
10 Nov 25,26277.0,26279.0,25.0
10 Nov 25,26298.75,26279.0,-205.0
12 Nov 25,26532.75,26413.5,-2400.0
14 Nov 25,25511.5,25635.25,-2490.0
17 Nov 25,25748.0,25908.5,3195.0
17 Nov 25,25766.5,25908.5,1412.5
19 Nov 25,25387.75,25372.75,-315.0
19 Nov 25,25414.75,25372.75,-427.5
21 Nov 25,24897.75,24741.75,-3135.0
21 Nov 25,24911.0,24741.75,-1700.0
24 Nov 25,25266.5,25605.25,6760.0
26 Nov 25,25908.5,26074.75,3310.0
01 Dec 25,26029.0,26160.5,-2645.0
03 Dec 25,26395.25,26275.25,-2415.0
05 Dec 25,26478.25,26583.25,-2115.0
05 Dec 25,26462.25,26583.25,-1217.5
08 Dec 25,26575.0,26381.25,3860.0
10 Dec 25,26410.75,26321.25,-1805.0
12 Dec 25,26353.75,26067.5,5710.0
12 Dec 25,26344.0,26067.5,2757.5
15 Dec 25,26119.25,25796.75,6435.0
17 Dec 25,25969.25,25650.5,6360.0
19 Dec 25,25868.25,25981.25,-2275.0
22 Dec 25,26269.75,26208.0,1220.0
22 Dec 25,26257.25,26208.0,485.0
24 Dec 25,26306.75,26384.75,1545.0
26 Dec 25,26387.0,26363.25,-490.0
26 Dec 25,26403.5,26363.25,-410.0
29 Dec 25,26231.0,26182.75,-980.0
29 Dec 25,26232.0,26182.75,-500.0
31 Dec 25,26197.75,26090.0,2140.0
02 Jan 26,26189.0,26119.25,-1410.0
02 Jan 26,26186.25,26119.25,-677.5
05 Jan 26,26083.25,26162.25,-1595.0
07 Jan 26,26321.25,26400.25,-1595.0
09 Jan 26,26182.25,26409.0,4520.0
09 Jan 26,26195.0,26409.0,2132.5
12 Jan 26,26235.5,26478.5,4845.0
14 Jan 26,26225.75,26147.0,-1590.0
16 Jan 26,26358.75,26215.5,2850.0
19 Jan 26,25779.75,25897.5,2340.0
21 Jan 26,25604.25,25698.75,-1905.0
23 Jan 26,26063.75,26308.75,4885.0
23 Jan 26,26078.25,26308.75,2297.5
26 Jan 26,26348.75,26416.75,-1375.0
28 Jan 26,26750.0,26653.75,-1940.0
28 Jan 26,26747.75,26653.75,-947.5
30 Jan 26,26409.5,26214.75,3880.0
30 Jan 26,26396.25,26214.75,1807.5
02 Feb 26,26019.25,26128.75,-2205.0
04 Feb 26,25861.5,25728.5,-2675.0
06 Feb 26,25252.25,25540.25,5745.0
06 Feb 26,25272.0,25540.25,2675.0
09 Feb 26,25587.5,25919.75,6630.0
09 Feb 26,25611.0,25919.75,3080.0
11 Feb 26,25937.75,25714.5,4450.0
11 Feb 26,25932.25,25714.5,2170.0
13 Feb 26,25148.5,25448.5,5985.0
16 Feb 26,25348.75,25212.0,-2750.0
18 Feb 26,25303.75,25591.25,5735.0
18 Feb 26,25330.0,25591.25,2605.0
20 Feb 26,25428.5,25551.25,-2470.0
23 Feb 26,25475.25,25246.5,4560.0
23 Feb 26,25454.25,25246.5,2070.0
25 Feb 26,25660.75,25776.75,-2335.0
27 Feb 26,25440.75,25466.5,-530.0
27 Feb 26,25421.5,25466.5,-457.5
02 Mar 26,25136.0,25508.25,7430.0
04 Mar 26,25457.5,25585.75,-2580.0
04 Mar 26,25454.5,25585.75,-1320.0
06 Mar 26,25161.0,25335.25,3470.0
06 Mar 26,25179.0,25335.25,1555.0
09 Mar 26,24829.25,25165.25,6705.0
09 Mar 26,24837.75,25165.25,3267.5
13 Mar 26,25230.5,24944.25,5710.0
13 Mar 26,25207.25,24944.25,2622.5
16 Mar 26,25159.0,25186.5,535.0
16 Mar 26,25184.25,25186.5,15.0
18 Mar 26,25143.75,25178.75,685.0
18 Mar 26,25164.25,25178.75,137.5
20 Mar 26,24813.0,24621.75,3810.0
23 Mar 26,24921.5,24725.0,3915.0
23 Mar 26,24895.75,24725.0,1700.0
25 Mar 26,24787.0,24645.5,2815.0
25 Mar 26,24771.25,24645.5,1250.0
27 Mar 26,23885.0,23748.5,-2745.0
30 Mar 26,23774.25,23630.5,-2890.0
01 Apr 26,24337.25,24599.0,5220.0
01 Apr 26,24363.0,24599.0,2352.5
05 Apr 26,24372.5,24328.75,-890.0
06 Apr 26,24580.0,24589.75,180.0
06 Apr 26,24588.25,24589.75,7.5
08 Apr 26,25511.75,25371.25,2795.0
13 Apr 26,25459.25,25583.75,-2505.0
15 Apr 26,26317.25,26445.5,-2580.0
17 Apr 26,26956.25,27074.5,-2380.0
20 Apr 26,27047.25,26964.5,1640.0
22 Apr 26,27112.25,27293.75,3615.0
22 Apr 26,27131.25,27293.75,1617.5
24 Apr 26,27495.25,27662.5,3330.0
27 Apr 26,27668.25,27677.75,175.0
29 Apr 26,27460.5,27542.25,1620.0
29 Apr 26,27479.0,27542.25,625.0
01 May 26,28123.0,28150.75,-570.0
01 May 26,28120.0,28150.75,-315.0
04 May 26,28118.75,28013.75,-2115.0
04 May 26,28132.75,28013.75,-1197.5
06 May 26,28707.25,28889.0,3620.0
06 May 26,28722.75,28889.0,1655.0
08 May 26,29375.5,29486.25,-2230.0
11 May 26,29627.0,29752.0,-2515.0
11 May 26,29608.75,29752.0,-1440.0
13 May 26,29422.25,29685.0,5240.0
13 May 26,29443.0,29685.0,2412.5
15 May 26,29518.25,29638.25,-2415.0
15 May 26,29511.75,29638.25,-1272.5
18 May 26,29678.25,29242.0,8710.0
20 May 26,29392.25,29571.75,3575.0
20 May 26,29394.75,29571.75,1762.5
22 May 26,29868.75,29998.5,-2610.0
25 May 26,30236.25,30228.0,-180.0
27 May 26,30578.0,30451.5,-2545.0
29 May 26,30749.75,30730.0,380.0
29 May 26,30730.0,30730.0,-7.5
01 Jun 26,30701.75,30761.75,1185.0
03 Jun 26,31071.75,30901.75,3385.0
05 Jun 26,30279.75,30166.5,-2280.0
08 Jun 26,29829.25,29985.0,-3130.0
08 Jun 26,29816.0,29985.0,-1697.5
10 Jun 26,29396.25,29018.0,7550.0
12 Jun 26,29719.25,29943.75,4475.0
12 Jun 26,29712.0,29943.75,2310.0
15 Jun 26,30703.25,30877.5,-3500.0
17 Jun 26,30433.25,30444.75,215.0
19 Jun 26,30595.0,30674.0,-1595.0
22 Jun 26,30863.5,30565.0,5955.0
24 Jun 26,29747.25,29543.25,-4095.0
26 Jun 26,29281.75,29556.0,5470.0
29 Jun 26,29613.75,29405.75,-4175.0
29 Jun 26,29645.25,29405.75,-2402.5
01 Jul 26,30176.25,30227.25,1005.0
01 Jul 26,30214.5,30227.25,120.0
03 Jul 26,29902.75,29899.75,45.0
06 Jul 26,29872.75,30075.25,4035.0
08 Jul 26,29213.75,29200.25,255.0
08 Jul 26,29192.25,29200.25,-87.5
10 Jul 26,29800.5,29992.25,3820.0
10 Jul 26,29806.25,29992.25,1852.5
13 Jul 26,29712.5,29599.25,2250.0
13 Jul 26,29701.5,29599.25,1015.0
15 Jul 26,29795.5,29626.75,-3390.0
17 Jul 26,28636.75,28466.75,-3415.0
