# Counterweight (MNQ 15:30 PM Fade) - best return-on-drawdown window 01 May 2025 to 28 Aug 2026 - closed trades at Multiplier 18 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
01 May 25,21224.5,21189.5,2466.0
02 May 25,21427.75,21398.5,-2160.0
06 May 25,21156.0,21136.75,1332.0
07 May 25,20979.25,20983.75,270.0
08 May 25,21528.75,21493.75,2466.0
09 May 25,21364.75,21362.25,126.0
13 May 25,22528.75,22521.5,468.0
16 May 25,22703.75,22701.75,90.0
22 May 25,22532.0,22497.0,2466.0
28 May 25,22664.0,22600.75,-4608.0
30 May 25,22595.0,22560.0,2466.0
02 Jun 25,22739.25,22732.0,468.0
03 Jun 25,22918.75,22895.5,-1728.0
05 Jun 25,22780.75,22815.75,2466.0
11 Jun 25,23056.0,23077.5,1494.0
13 Jun 25,22839.0,22874.0,2466.0
18 Jun 25,22916.25,22951.25,2466.0
20 Jun 25,22807.5,22805.0,-234.0
23 Jun 25,23051.5,23050.25,36.0
26 Jun 25,23667.0,23679.0,-918.0
30 Jun 25,23873.25,23903.25,-2214.0
01 Jul 25,23719.75,23716.75,-270.0
07 Jul 25,23841.0,23864.25,1620.0
09 Jul 25,24032.75,24026.0,432.0
11 Jul 25,23974.0,23957.0,-1278.0
15 Jul 25,24082.5,24087.0,270.0
16 Jul 25,24068.0,24076.0,-630.0
18 Jul 25,24208.5,24213.75,-432.0
21 Jul 25,24362.75,24352.25,-810.0
22 Jul 25,24235.0,24237.25,-216.0
24 Jul 25,24411.75,24389.25,1566.0
25 Jul 25,24435.5,24431.75,216.0
29 Jul 25,24452.5,24447.75,-396.0
30 Jul 25,24388.75,24393.25,270.0
31 Jul 25,24371.5,24406.5,2466.0
05 Aug 25,24165.0,24150.25,-1116.0
07 Aug 25,24389.25,24424.25,2466.0
11 Aug 25,24656.25,24621.5,-2556.0
12 Aug 25,24919.25,24929.0,-756.0
13 Aug 25,24930.0,24928.75,-144.0
14 Aug 25,24922.25,24940.0,1224.0
15 Aug 25,24801.25,24800.25,-126.0
18 Aug 25,24787.75,24792.25,-378.0
19 Aug 25,24453.25,24453.0,-72.0
20 Aug 25,24315.75,24332.5,-1260.0
21 Aug 25,24233.0,24218.5,990.0
25 Aug 25,24546.75,24537.75,-702.0
26 Aug 25,24563.25,24558.75,270.0
28 Aug 25,24773.75,24779.5,-468.0
29 Aug 25,24459.5,24442.75,1152.0
02 Sep 25,24229.75,24263.25,-2466.0
03 Sep 25,24347.75,24382.75,2466.0
09 Sep 25,24852.5,24859.75,-576.0
10 Sep 25,24804.0,24839.0,2466.0
11 Sep 25,25028.75,25038.0,-720.0
12 Sep 25,25120.5,25085.5,2466.0
15 Sep 25,25267.75,25268.75,18.0
16 Sep 25,25290.5,25311.0,-1530.0
17 Sep 25,25284.25,25249.25,2466.0
18 Sep 25,25473.0,25473.0,-54.0
19 Sep 25,25600.0,25620.5,-1530.0
22 Sep 25,25770.75,25766.25,270.0
24 Sep 25,25477.0,25472.5,270.0
25 Sep 25,25361.75,25359.0,144.0
26 Sep 25,25479.25,25461.75,1206.0
29 Sep 25,25560.0,25595.0,2466.0
30 Sep 25,25615.75,25611.25,270.0
01 Oct 25,25777.5,25775.25,108.0
02 Oct 25,25875.0,25854.25,1440.0
03 Oct 25,25758.0,25750.5,486.0
07 Oct 25,25787.25,25814.5,-2016.0
08 Oct 25,26065.5,26070.5,-414.0
09 Oct 25,26018.75,26033.75,-1134.0
10 Oct 25,25282.75,25259.0,-1764.0
15 Oct 25,25697.5,25662.5,2466.0
16 Oct 25,25487.5,25522.5,2466.0
24 Oct 25,26314.75,26297.0,1224.0
28 Oct 25,26979.25,26944.25,2466.0
29 Oct 25,26944.5,26979.5,2466.0
30 Oct 25,26678.75,26680.75,90.0
03 Nov 25,26851.25,26834.0,-1296.0
07 Nov 25,25809.25,25862.25,-3870.0
17 Nov 25,25540.5,25575.5,2466.0
19 Nov 25,25526.0,25491.0,2466.0
20 Nov 25,25046.25,25041.75,270.0
02 Dec 25,26387.0,26382.5,270.0
03 Dec 25,26435.75,26415.5,1404.0
04 Dec 25,26315.25,26350.25,2466.0
10 Dec 25,26590.5,26597.0,-522.0
11 Dec 25,26432.75,26464.25,-2322.0
12 Dec 25,25961.5,25942.0,-1458.0
15 Dec 25,25872.25,25872.75,-18.0
16 Dec 25,25881.5,25916.5,-2574.0
17 Dec 25,25461.0,25449.0,-918.0
18 Dec 25,25813.5,25848.5,2466.0
29 Dec 25,26258.25,26256.25,90.0
30 Dec 25,26210.75,26205.0,-468.0
31 Dec 25,25983.5,26018.5,2466.0
02 Jan 26,25940.25,25905.25,2466.0
07 Jan 26,26366.25,26350.0,-1224.0
12 Jan 26,26499.0,26475.75,1620.0
13 Jan 26,26333.0,26368.0,2466.0
16 Jan 26,26217.5,26210.5,-558.0
20 Jan 26,25634.75,25633.5,-144.0
22 Jan 26,26115.0,26150.0,2466.0
23 Jan 26,26216.25,26243.25,1890.0
28 Jan 26,26682.25,26677.75,270.0
30 Jan 26,26102.0,26137.0,2466.0
04 Feb 26,25567.0,25558.5,558.0
05 Feb 26,25144.25,25179.25,2466.0
12 Feb 26,25310.75,25315.25,270.0
13 Feb 26,25271.25,25275.75,270.0
18 Feb 26,25382.0,25417.0,2466.0
19 Feb 26,25294.25,25329.25,2466.0
26 Feb 26,25537.25,25557.0,-1476.0
06 Mar 26,25159.25,25194.25,2466.0
09 Mar 26,25461.0,25426.0,2466.0
10 Mar 26,25494.0,25529.0,2466.0
11 Mar 26,25441.0,25476.0,2466.0
12 Mar 26,25121.5,25126.0,270.0
13 Mar 26,24884.75,24870.5,972.0
16 Mar 26,25191.5,25156.5,2466.0
17 Mar 26,25299.0,25290.25,-684.0
18 Mar 26,25013.75,24978.75,-2574.0
19 Mar 26,24891.5,24856.5,2466.0
20 Mar 26,24351.25,24328.0,-1728.0
20 Mar 26,24264.25,24328.0,4536.0
20 Mar 26,24297.0,24328.0,1089.0
23 Mar 26,24768.5,24762.25,396.0
24 Mar 26,24561.25,24526.25,2466.0
25 Mar 26,24646.5,24669.0,1566.0
01 Apr 26,24525.75,24501.75,-1782.0
02 Apr 26,24441.0,24481.75,-2988.0
06 Apr 26,24630.0,24653.25,-1728.0
07 Apr 26,24509.0,24544.0,2466.0
08 Apr 26,25250.25,25285.25,2466.0
09 Apr 26,25515.0,25550.0,2466.0
14 Apr 26,26282.25,26277.75,270.0
15 Apr 26,26630.5,26646.25,-1188.0
16 Apr 26,26737.5,26772.5,2466.0
20 Apr 26,27021.75,27009.0,864.0
21 Apr 26,27071.25,27036.25,2466.0
28 Apr 26,27481.5,27476.75,288.0
01 May 26,28190.0,28155.0,2466.0
04 May 26,28070.25,28055.75,-1098.0
07 May 26,28903.5,28938.5,2466.0
11 May 26,29674.0,29678.5,270.0
12 May 26,29341.5,29451.75,-7992.0
12 May 26,29428.5,29451.75,-1728.0
13 May 26,29820.25,29785.25,2466.0
15 May 26,29583.0,29618.0,2466.0
20 May 26,29635.0,29634.5,-18.0
21 May 26,29720.0,29734.25,972.0
22 May 26,29843.0,29878.0,2466.0
27 May 26,30321.0,30344.75,-1764.0
28 May 26,30598.25,30602.75,270.0
02 Jun 26,30958.25,30987.25,-2142.0
04 Jun 26,30889.0,30854.0,2466.0
08 Jun 26,29729.5,29764.5,2466.0
09 Jun 26,29247.0,29212.0,2466.0
11 Jun 26,29718.25,29800.75,-5994.0
11 Jun 26,29805.25,29713.0,6588.0
17 Jun 26,30127.5,30162.5,2466.0
18 Jun 26,30687.25,30722.25,2466.0
23 Jun 26,29709.75,29744.75,2466.0
24 Jun 26,29383.5,29418.5,2466.0
25 Jun 26,29681.75,29640.0,-3060.0
26 Jun 26,29450.5,29485.5,2466.0
29 Jun 26,30027.0,29992.0,2466.0
06 Jul 26,30036.75,30001.75,2466.0
07 Jul 26,29320.0,29355.0,2466.0
08 Jul 26,29426.25,29391.25,2466.0
13 Jul 26,29418.25,29453.25,2466.0
