# Confluence (MNQ FVG Continuation + Level Reclaim (2-leg)) - best return-on-drawdown window 02 Jan 2026 to 01 Sep 2026 - closed trades at Multiplier 5 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
02 Jan 26,26132.5,26251.75,2370.0,L,LvlL,10.0,0.4535
02 Jan 26,25861.75,25848.5,125.0,S,FvgS,5.0,0.0483
02 Jan 26,25861.75,25856.5,45.0,S,FvgS,5.0,0.0174
02 Jan 26,25861.75,25904.75,-437.5,S,FvgS,5.0,-0.1692
02 Jan 26,25861.75,25904.75,-437.5,S,FvgS,5.0,-0.1692
05 Jan 26,25987.25,26047.0,-1210.0,S,LvlS,10.0,-0.2328
05 Jan 26,26021.0,26053.75,640.0,L,LvlL,10.0,0.123
05 Jan 26,26018.0,26068.0,492.5,L,FvgL,5.0,0.1893
05 Jan 26,26046.25,26056.0,90.0,L,FvgL,5.0,0.0346
05 Jan 26,26046.25,26083.25,362.5,L,FvgL,5.0,0.1392
06 Jan 26,26075.0,26131.0,-567.5,S,FvgS,5.0,-0.2176
06 Jan 26,26075.0,26131.0,-567.5,S,FvgS,5.0,-0.2176
06 Jan 26,26132.75,26145.75,122.5,L,FvgL,5.0,0.0469
06 Jan 26,26132.75,26181.75,482.5,L,FvgL,5.0,0.1846
06 Jan 26,26234.0,26252.75,180.0,L,FvgL,5.0,0.0686
06 Jan 26,26234.0,26239.25,45.0,L,FvgL,5.0,0.0172
06 Jan 26,26234.0,26173.5,-612.5,L,FvgL,5.0,-0.2335
06 Jan 26,26234.0,26173.5,-612.5,L,FvgL,5.0,-0.2335
07 Jan 26,26337.5,26277.75,-1210.0,L,LvlL,10.0,-0.2297
07 Jan 26,26280.75,26246.0,680.0,S,LvlS,10.0,0.1294
07 Jan 26,26249.5,26309.25,-1210.0,S,LvlS,10.0,-0.2305
07 Jan 26,26347.75,26358.75,102.5,L,FvgL,5.0,0.0389
07 Jan 26,26347.75,26389.0,405.0,L,FvgL,5.0,0.1537
07 Jan 26,26347.75,26358.75,102.5,L,FvgL,5.0,0.0389
07 Jan 26,26347.75,26389.0,405.0,L,FvgL,5.0,0.1537
07 Jan 26,26339.0,26306.75,630.0,S,LvlS,10.0,0.1196
08 Jan 26,26292.75,26318.0,245.0,L,FvgL,5.0,0.0932
08 Jan 26,26292.75,26211.0,-825.0,L,FvgL,5.0,-0.3138
08 Jan 26,26177.25,26160.75,157.5,S,FvgS,5.0,0.0602
08 Jan 26,26177.25,26115.25,612.5,S,FvgS,5.0,0.234
09 Jan 26,26164.75,26210.5,-465.0,S,FvgS,5.0,-0.1777
09 Jan 26,26164.75,26210.5,-465.0,S,FvgS,5.0,-0.1777
09 Jan 26,26246.25,26257.0,100.0,L,FvgL,5.0,0.0381
09 Jan 26,26246.25,26286.5,395.0,L,FvgL,5.0,0.1505
11 Jan 26,26413.5,26371.5,825.0,S,LvlS,10.0,0.1562
11 Jan 26,26251.0,26219.75,610.0,S,LvlS,10.0,0.1162
12 Jan 26,26213.75,26245.75,-327.5,S,FvgS,5.0,-0.1249
12 Jan 26,26213.75,26245.75,-327.5,S,FvgS,5.0,-0.1249
12 Jan 26,26241.75,26206.25,695.0,S,LvlS,10.0,0.1324
12 Jan 26,26190.25,26250.0,-1210.0,S,LvlS,10.0,-0.231
12 Jan 26,26253.5,26287.75,670.0,L,LvlL,10.0,0.1276
12 Jan 26,26404.0,26371.5,635.0,S,LvlS,10.0,0.1202
13 Jan 26,26422.5,26407.25,145.0,S,FvgS,5.0,0.0549
13 Jan 26,26393.5,26453.25,-1210.0,S,LvlS,10.0,-0.2292
13 Jan 26,26465.25,26497.25,625.0,L,LvlL,10.0,0.1181
13 Jan 26,26439.75,26468.75,282.5,L,FvgL,5.0,0.1068
13 Jan 26,26439.75,26445.0,45.0,L,FvgL,5.0,0.017
13 Jan 26,26407.25,26416.75,87.5,L,FvgL,5.0,0.0331
14 Jan 26,26407.25,26376.25,-317.5,L,FvgL,5.0,-0.1202
14 Jan 26,26363.0,26333.5,575.0,S,LvlS,10.0,0.1091
14 Jan 26,26301.25,26257.0,435.0,S,FvgS,5.0,0.1654
14 Jan 26,26285.75,26256.5,570.0,S,LvlS,10.0,0.1084
14 Jan 26,26111.75,26119.75,-87.5,S,FvgS,5.0,-0.0335
14 Jan 26,26111.75,26119.75,-87.5,S,FvgS,5.0,-0.0335
14 Jan 26,26006.0,25956.5,487.5,S,FvgS,5.0,0.1875
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26006.0,25956.5,487.5,S,FvgS,5.0,0.1875
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26006.0,25956.5,487.5,S,FvgS,5.0,0.1875
