# Continuum (MNQ 24H Multi-Leg Book) - best return-on-drawdown window 01 Jan 2026 to 01 Sep 2026 - closed trades at Multiplier 5 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
01 Jan 26,26053.5,26129.0,-762.5,S,Fade S,5.0,-0.2927
01 Jan 26,26053.5,26129.0,-762.5,S,Fade S,5.0,-0.2927
02 Jan 26,26132.5,26251.75,2370.0,L,LvlL,10.0,0.4535
02 Jan 26,25861.75,25848.5,125.0,S,FvgS,5.0,0.0483
02 Jan 26,25861.75,25856.5,45.0,S,FvgS,5.0,0.0174
02 Jan 26,25861.75,25904.75,-437.5,S,FvgS,5.0,-0.1692
02 Jan 26,25861.75,25904.75,-437.5,S,FvgS,5.0,-0.1692
02 Jan 26,25940.25,25905.25,342.5,S,PMF short lim,5.0,0.132
05 Jan 26,25987.25,26011.5,470.0,L,SydL,10.0,0.0904
05 Jan 26,25992.25,26011.5,185.0,L,Syd add,5.0,0.0712
05 Jan 26,25987.25,26047.0,-1210.0,S,LvlS,10.0,-0.2328
05 Jan 26,26021.0,26053.75,640.0,L,LvlL,10.0,0.123
05 Jan 26,26018.0,26068.0,492.5,L,FvgL,5.0,0.1893
05 Jan 26,26046.25,26056.0,90.0,L,FvgL,5.0,0.0346
05 Jan 26,26046.25,26083.25,362.5,L,FvgL,5.0,0.1392
05 Jan 26,26106.0,26108.25,15.0,L,PMF long lim,5.0,0.0057
06 Jan 26,26095.75,26166.5,-1430.0,S,Fade S,10.0,-0.274
06 Jan 26,26075.0,26131.0,-567.5,S,FvgS,5.0,-0.2176
06 Jan 26,26075.0,26131.0,-567.5,S,FvgS,5.0,-0.2176
06 Jan 26,26132.75,26145.75,122.5,L,FvgL,5.0,0.0469
06 Jan 26,26132.75,26181.75,482.5,L,FvgL,5.0,0.1846
06 Jan 26,26234.0,26252.75,180.0,L,FvgL,5.0,0.0686
06 Jan 26,26234.0,26239.25,45.0,L,FvgL,5.0,0.0172
06 Jan 26,26234.0,26173.5,-612.5,L,FvgL,5.0,-0.2335
06 Jan 26,26234.0,26173.5,-612.5,L,FvgL,5.0,-0.2335
07 Jan 26,26337.5,26277.75,-1210.0,L,LvlL,10.0,-0.2297
07 Jan 26,26280.75,26246.0,680.0,S,LvlS,10.0,0.1294
07 Jan 26,26249.5,26309.25,-1210.0,S,LvlS,10.0,-0.2305
07 Jan 26,26347.75,26358.75,102.5,L,FvgL,5.0,0.0389
07 Jan 26,26347.75,26389.0,405.0,L,FvgL,5.0,0.1537
07 Jan 26,26347.75,26358.75,102.5,L,FvgL,5.0,0.0389
07 Jan 26,26347.75,26389.0,405.0,L,FvgL,5.0,0.1537
07 Jan 26,26366.25,26350.0,-170.0,L,PMF long lim,5.0,-0.0645
07 Jan 26,26339.0,26306.75,630.0,S,LvlS,10.0,0.1196
08 Jan 26,26305.0,26229.5,-762.5,L,Fade L,5.0,-0.2899
08 Jan 26,26305.0,26229.5,-762.5,L,Fade L,5.0,-0.2899
08 Jan 26,26292.75,26318.0,245.0,L,FvgL,5.0,0.0932
08 Jan 26,26292.75,26211.0,-825.0,L,FvgL,5.0,-0.3138
08 Jan 26,26177.25,26160.75,157.5,S,FvgS,5.0,0.0602
08 Jan 26,26177.25,26115.25,612.5,S,FvgS,5.0,0.234
08 Jan 26,26171.0,26154.25,320.0,S,SydS,10.0,0.0611
09 Jan 26,26157.5,26189.75,630.0,L,Fade L,10.0,0.1204
09 Jan 26,26195.75,26189.75,-135.0,L,Confirm add run,10.0,-0.0258
09 Jan 26,26246.25,26257.0,100.0,L,FvgL,5.0,0.0381
09 Jan 26,26246.25,26286.5,395.0,L,FvgL,5.0,0.1505
11 Jan 26,26413.5,26371.5,825.0,S,LvlS,10.0,0.1562
11 Jan 26,26251.0,26219.75,610.0,S,LvlS,10.0,0.1162
12 Jan 26,26213.75,26245.75,-327.5,S,FvgS,5.0,-0.1249
12 Jan 26,26213.75,26245.75,-327.5,S,FvgS,5.0,-0.1249
12 Jan 26,26241.75,26206.25,695.0,S,LvlS,10.0,0.1324
12 Jan 26,26190.25,26250.0,-1210.0,S,LvlS,10.0,-0.231
12 Jan 26,26253.5,26287.75,670.0,L,LvlL,10.0,0.1276
12 Jan 26,26499.0,26475.75,225.0,S,PMF short lim,5.0,0.0849
12 Jan 26,26404.0,26371.5,635.0,S,LvlS,10.0,0.1202
13 Jan 26,26371.5,26420.5,965.0,L,Fade L,10.0,0.183
13 Jan 26,26408.0,26420.5,235.0,L,Confirm add run,10.0,0.0445
13 Jan 26,26425.0,26456.0,605.0,L,LvlL,10.0,0.1145
13 Jan 26,26465.25,26497.25,625.0,L,LvlL,10.0,0.1181
13 Jan 26,26439.75,26468.75,282.5,L,FvgL,5.0,0.1068
13 Jan 26,26439.75,26445.0,45.0,L,FvgL,5.0,0.017
13 Jan 26,26407.5,26390.0,502.5,S,F13S,15.0,0.0634
13 Jan 26,26407.5,26374.75,960.0,S,F13S,15.0,0.1212
13 Jan 26,26407.25,26416.75,87.5,L,FvgL,5.0,0.0331
14 Jan 26,26407.25,26376.25,-317.5,L,FvgL,5.0,-0.1202
14 Jan 26,26363.0,26333.5,575.0,S,LvlS,10.0,0.1091
14 Jan 26,26301.25,26257.0,435.0,S,FvgS,5.0,0.1654
14 Jan 26,26285.75,26256.5,570.0,S,LvlS,10.0,0.1084
14 Jan 26,26225.75,26140.75,-857.5,L,RFl,5.0,-0.327
14 Jan 26,26111.75,26119.75,-87.5,S,FvgS,5.0,-0.0335
14 Jan 26,26111.75,26119.75,-87.5,S,FvgS,5.0,-0.0335
14 Jan 26,26006.0,25956.5,487.5,S,FvgS,5.0,0.1875
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26006.0,25956.5,487.5,S,FvgS,5.0,0.1875
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26002.0,25984.0,517.5,S,F13S,15.0,0.0663
14 Jan 26,26002.0,25968.75,325.0,S,F13S,5.0,0.125
14 Jan 26,26002.0,25956.5,895.0,S,F13S,10.0,0.1721
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26006.0,26000.75,45.0,S,FvgS,5.0,0.0173
14 Jan 26,26120.5,26136.5,305.0,L,SydL,10.0,0.0584
15 Jan 26,26092.5,26174.5,812.5,L,Fade L,5.0,0.3114
15 Jan 26,26127.5,26174.5,462.5,L,Confirm add run,5.0,0.177
15 Jan 26,26092.5,26197.0,1037.5,L,Fade L,5.0,0.3976
15 Jan 26,26127.5,26197.0,687.5,L,Confirm add run,5.0,0.2631
15 Jan 26,26321.5,26334.5,122.5,L,FvgL,5.0,0.0465
15 Jan 26,26321.5,26370.5,482.5,L,FvgL,5.0,0.1833
15 Jan 26,26441.5,26420.75,200.0,S,RTs,5.0,0.0756
15 Jan 26,26321.5,26334.5,122.5,L,FvgL,5.0,0.0465
15 Jan 26,26321.5,26370.5,482.5,L,FvgL,5.0,0.1833
15 Jan 26,26224.75,26207.25,-182.5,L,PMF long lim,5.0,-0.0696
16 Jan 26,26257.75,26317.75,1185.0,L,Fade L,10.0,0.2256
16 Jan 26,26292.5,26317.75,490.0,L,Confirm add run,10.0,0.0932
16 Jan 26,26358.75,26155.25,2027.5,S,RFs,5.0,0.7692
16 Jan 26,26222.5,26197.5,727.5,S,F13S,15.0,0.0925
16 Jan 26,26222.5,26180.25,1245.0,S,F13S,15.0,0.1583
18 Jan 26,25932.0,25917.5,137.5,S,FvgS,5.0,0.053
18 Jan 26,25932.0,25926.75,45.0,S,FvgS,5.0,0.0174
19 Jan 26,25893.25,25766.75,2515.0,S,LvlS,10.0,0.4856
19 Jan 26,25805.25,25762.5,840.0,S,LvlS,10.0,0.1628
19 Jan 26,25757.5,25897.5,1392.5,L,RFl,5.0,0.5406
19 Jan 26,25850.75,25877.0,255.0,L,FvgL,5.0,0.0986
20 Jan 26,25850.75,25856.0,45.0,L,FvgL,5.0,0.0174
20 Jan 26,25657.5,25702.5,-457.5,S,FvgS,5.0,-0.1783
20 Jan 26,25657.5,25702.5,-457.5,S,FvgS,5.0,-0.1783
20 Jan 26,25828.5,25870.0,-422.5,S,RTs,5.0,-0.1636
20 Jan 26,25829.25,25870.0,-415.0,S,RTaS,5.0,-0.1607
20 Jan 26,25878.75,25842.25,-372.5,L,FvgL,5.0,-0.1439
20 Jan 26,25878.75,25842.25,-372.5,L,FvgL,5.0,-0.1439
20 Jan 26,25634.75,25633.5,-20.0,L,PMF long lim,5.0,-0.0078
20 Jan 26,25646.75,25727.5,-815.0,S,FvgS,5.0,-0.3178
20 Jan 26,25646.75,25727.5,-815.0,S,FvgS,5.0,-0.3178
21 Jan 26,25728.75,25734.75,-135.0,S,Fade S,10.0,-0.0262
21 Jan 26,25716.5,25676.25,790.0,S,LvlS,10.0,0.1536
21 Jan 26,25677.25,25662.75,137.5,S,FvgS,5.0,0.0535
21 Jan 26,25677.25,25623.0,535.0,S,FvgS,5.0,0.2084
21 Jan 26,25611.75,25588.25,227.5,S,FvgS,5.0,0.0888
21 Jan 26,25611.75,25606.5,45.0,S,FvgS,5.0,0.0176
21 Jan 26,25613.0,25702.25,-900.0,S,RFs,5.0,-0.3514
21 Jan 26,25916.0,25754.75,-1620.0,L,FvgL,5.0,-0.6251
21 Jan 26,25916.0,25754.75,-1620.0,L,FvgL,5.0,-0.6251
21 Jan 26,26041.5,26042.0,-37.5,S,F13S,15.0,-0.0048
21 Jan 26,26041.5,26042.0,-37.5,S,F13S,15.0,-0.0048
22 Jan 26,26085.25,26003.25,812.5,S,Fade S,5.0,0.3115
22 Jan 26,26050.5,26003.25,465.0,S,Confirm add run,5.0,0.1785
22 Jan 26,26085.25,26004.75,797.5,S,Fade S,5.0,0.3057
22 Jan 26,26050.5,26004.75,450.0,S,Confirm add run,5.0,0.1727
22 Jan 26,26184.75,26211.75,525.0,L,LvlL,10.0,0.1002
22 Jan 26,26198.0,26234.75,720.0,L,LvlL,10.0,0.1374
22 Jan 26,26150.75,26179.5,280.0,L,RTl,5.0,0.1071
22 Jan 26,26153.75,26179.5,250.0,L,RTaL,5.0,0.0956
22 Jan 26,26187.25,26202.0,420.0,L,F13L,15.0,0.0535
22 Jan 26,26187.25,26214.5,795.0,L,F13L,15.0,0.1012
22 Jan 26,26179.25,26210.5,610.0,L,SydL,10.0,0.1165
23 Jan 26,26211.0,26226.5,-325.0,S,Fade S,10.0,-0.062
23 Jan 26,26135.75,26103.75,625.0,S,LvlS,10.0,0.1196
23 Jan 26,26116.25,26085.0,610.0,S,LvlS,10.0,0.1168
23 Jan 26,26109.75,26098.75,102.5,S,FvgS,5.0,0.0393
23 Jan 26,26109.75,26068.5,405.0,S,FvgS,5.0,0.1551
23 Jan 26,26063.75,26286.5,2220.0,L,RFl,5.0,0.8518
23 Jan 26,26078.25,26286.5,2075.0,L,RfAL,5.0,0.7957
23 Jan 26,26235.25,26240.5,45.0,L,FvgL,5.0,0.0172
23 Jan 26,26235.25,26240.5,45.0,L,FvgL,5.0,0.0172
23 Jan 26,26216.25,26243.25,262.5,L,PMF long lim,5.0,0.1001
26 Jan 26,26150.75,26180.75,585.0,L,LvlL,10.0,0.1119
26 Jan 26,26159.5,26125.75,-345.0,L,FvgL,5.0,-0.1319
26 Jan 26,26159.5,26125.75,-345.0,L,FvgL,5.0,-0.1319
26 Jan 26,26132.75,26164.75,-327.5,S,FvgS,5.0,-0.1253
26 Jan 26,26136.5,26196.25,-1210.0,S,LvlS,10.0,-0.2315
26 Jan 26,26188.0,26206.25,175.0,L,FvgL,5.0,0.0668
26 Jan 26,26188.0,26256.5,677.5,L,FvgL,5.0,0.2587
26 Jan 26,26255.5,26313.25,-585.0,S,RFs,5.0,-0.2228
26 Jan 26,26408.25,26398.25,277.5,S,F13S,15.0,0.035
26 Jan 26,26408.25,26389.75,177.5,S,F13S,5.0,0.0672
26 Jan 26,26408.25,26391.75,315.0,S,F13S,10.0,0.0596
26 Jan 26,26426.5,26502.0,-762.5,S,Fade S,5.0,-0.2885
26 Jan 26,26426.5,26502.0,-762.5,S,Fade S,5.0,-0.2885
27 Jan 26,26490.75,26501.0,95.0,L,FvgL,5.0,0.0359
27 Jan 26,26490.75,26528.75,372.5,L,FvgL,5.0,0.1406
27 Jan 26,26504.25,26534.0,580.0,L,LvlL,10.0,0.1094
27 Jan 26,26536.75,26477.0,-1210.0,L,LvlL,10.0,-0.228
27 Jan 26,26521.25,26474.5,-475.0,L,FvgL,5.0,-0.1791
27 Jan 26,26531.75,26599.75,-687.5,S,RTs,5.0,-0.2591
27 Jan 26,26598.25,26579.5,1080.0,S,F13S,30.0,0.0677
28 Jan 26,26719.0,26758.5,775.0,L,SydL,10.0,0.145
28 Jan 26,26717.0,26758.5,407.5,L,Syd add,5.0,0.1525
28 Jan 26,26750.0,26652.25,-985.0,L,RFl,5.0,-0.3682
28 Jan 26,26747.75,26652.25,-962.5,L,RfAL,5.0,-0.3598
28 Jan 26,26697.75,26654.5,1275.0,S,F13S,15.0,0.1592
28 Jan 26,26697.75,26642.25,1642.5,S,F13S,15.0,0.2051
28 Jan 26,26735.25,26612.0,-1240.0,L,FvgL,5.0,-0.4638
28 Jan 26,26735.25,26612.0,-1240.0,L,FvgL,5.0,-0.4638
28 Jan 26,26638.0,26720.0,812.5,L,Fade L,5.0,0.305
28 Jan 26,26612.5,26720.0,1067.5,L,Confirm add,5.0,0.4011
28 Jan 26,26678.5,26720.0,407.5,L,Confirm add run,5.0,0.1527
29 Jan 26,26638.0,26771.25,1325.0,L,Fade L,5.0,0.4974
29 Jan 26,26612.5,26771.25,1580.0,L,Confirm add,5.0,0.5937
29 Jan 26,26678.5,26771.25,920.0,L,Confirm add run,5.0,0.3448
29 Jan 26,26759.75,26769.5,90.0,L,FvgL,5.0,0.0336
29 Jan 26,26759.75,26727.75,-327.5,L,FvgL,5.0,-0.1224
29 Jan 26,26701.0,26667.0,665.0,S,LvlS,10.0,0.1245
29 Jan 26,26689.75,26677.0,120.0,S,FvgS,5.0,0.045
29 Jan 26,26689.75,26642.0,470.0,S,FvgS,5.0,0.1761
29 Jan 26,26511.75,26480.0,-325.0,L,RTl,5.0,-0.1226
29 Jan 26,26377.5,26337.75,1170.0,S,F13S,15.0,0.1479
29 Jan 26,26377.5,26376.25,5.0,S,F13S,5.0,0.0019
29 Jan 26,26377.5,26378.0,-25.0,S,F13S,10.0,-0.0047
29 Jan 26,26473.5,26461.0,117.5,S,FvgS,5.0,0.0444
29 Jan 26,26473.5,26426.75,460.0,S,FvgS,5.0,0.1738
29 Jan 26,26462.5,26445.25,165.0,S,FvgS,5.0,0.0624
29 Jan 26,26462.5,26397.25,645.0,S,FvgS,5.0,0.2437
29 Jan 26,26388.25,26312.75,-762.5,L,Fade L,5.0,-0.289
29 Jan 26,26388.25,26312.75,-762.5,L,Fade L,5.0,-0.289
29 Jan 26,26369.0,26363.75,45.0,S,FvgS,5.0,0.0171
29 Jan 26,26369.0,26363.75,45.0,S,FvgS,5.0,0.0171
30 Jan 26,26369.0,26325.5,427.5,S,FvgS,5.0,0.1621
30 Jan 26,26369.0,26204.0,1642.5,S,FvgS,5.0,0.6229
30 Jan 26,26244.5,26231.25,125.0,S,FvgS,5.0,0.0476
30 Jan 26,26244.5,26287.5,-437.5,S,FvgS,5.0,-0.1667
30 Jan 26,26360.75,26378.0,165.0,L,FvgL,5.0,0.0626
30 Jan 26,26360.75,26304.75,-567.5,L,FvgL,5.0,-0.2153
30 Jan 26,26338.25,26398.0,-1210.0,S,LvlS,10.0,-0.2297
30 Jan 26,26409.5,26214.75,1940.0,S,RFs,5.0,0.7346
30 Jan 26,26403.0,26214.75,1875.0,S,RfAS,5.0,0.7101
30 Jan 26,26241.25,26218.5,220.0,S,FvgS,5.0,0.0838
30 Jan 26,26241.25,26155.5,850.0,S,FvgS,5.0,0.3239
30 Jan 26,26133.75,26181.75,1417.5,L,F13L,15.0,0.1808
30 Jan 26,26133.75,26200.25,657.5,L,F13L,5.0,0.2516
30 Jan 26,26133.75,26209.25,1495.0,L,F13L,10.0,0.286
30 Jan 26,26102.0,26137.0,342.5,L,PMF long lim,5.0,0.1312
01 Feb 26,26024.0,25933.25,1800.0,S,LvlS,10.0,0.3458
01 Feb 26,25868.25,25731.75,2715.0,S,LvlS,10.0,0.5248
02 Feb 26,25788.5,25736.75,1020.0,S,LvlS,10.0,0.1978
02 Feb 26,25723.0,25782.75,-1210.0,S,LvlS,10.0,-0.2352
02 Feb 26,25994.75,26005.0,95.0,L,FvgL,5.0,0.0365
02 Feb 26,25994.75,26032.75,372.5,L,FvgL,5.0,0.1433
02 Feb 26,26034.75,26129.5,-955.0,S,RFs,5.0,-0.3668
02 Feb 26,26314.25,26333.0,180.0,L,FvgL,5.0,0.0684
02 Feb 26,26314.25,26384.75,697.5,L,FvgL,5.0,0.2651
02 Feb 26,26366.0,26385.75,190.0,L,FvgL,5.0,0.0721
02 Feb 26,26366.0,26441.0,742.5,L,FvgL,5.0,0.2816
02 Feb 26,26428.25,26434.0,150.0,L,F13L,15.0,0.0189
02 Feb 26,26428.25,26438.5,285.0,L,F13L,15.0,0.0359
03 Feb 26,26447.25,26499.5,1030.0,L,Fade L,10.0,0.1947
03 Feb 26,26484.25,26499.5,290.0,L,Confirm add run,10.0,0.0547
03 Feb 26,26494.25,26458.0,710.0,S,LvlS,10.0,0.134
03 Feb 26,26464.25,26436.5,540.0,S,LvlS,10.0,0.102
03 Feb 26,26493.0,26433.25,-1210.0,L,LvlL,10.0,-0.2284
03 Feb 26,26304.5,26309.5,42.5,L,RTl,5.0,0.0162
03 Feb 26,26124.5,26111.5,122.5,S,FvgS,5.0,0.0469
03 Feb 26,26124.5,26075.5,482.5,S,FvgS,5.0,0.1847
03 Feb 26,25819.0,25863.0,1297.5,L,F13L,15.0,0.1675
03 Feb 26,25819.0,25820.25,5.0,L,F13L,5.0,0.0019
03 Feb 26,25819.0,25789.75,-600.0,L,F13L,10.0,-0.1162
04 Feb 26,25964.0,25924.5,387.5,S,FvgS,5.0,0.1492
04 Feb 26,25964.0,25814.25,1490.0,S,FvgS,5.0,0.5739
04 Feb 26,25816.75,25728.0,-895.0,L,RFl,5.0,-0.3467
04 Feb 26,25778.0,25772.75,45.0,S,FvgS,5.0,0.0175
04 Feb 26,25778.0,25772.75,45.0,S,FvgS,5.0,0.0175
04 Feb 26,25778.0,25731.75,455.0,S,FvgS,5.0,0.1765
04 Feb 26,25778.0,25603.25,1740.0,S,FvgS,5.0,0.675
04 Feb 26,25439.75,25386.25,1582.5,S,F13S,15.0,0.2074
04 Feb 26,25439.75,25357.75,2437.5,S,F13S,15.0,0.3194
04 Feb 26,25567.0,25558.5,77.5,S,PMF short lim,5.0,0.0303
04 Feb 26,25626.75,25615.5,105.0,S,FvgS,5.0,0.041
04 Feb 26,25626.75,25584.25,417.5,S,FvgS,5.0,0.1629
04 Feb 26,25626.75,25615.5,105.0,S,FvgS,5.0,0.041
04 Feb 26,25626.75,25663.25,-372.5,S,FvgS,5.0,-0.1454
04 Feb 26,25582.0,25506.5,-762.5,L,Fade L,5.0,-0.2981
04 Feb 26,25582.0,25506.5,-762.5,L,Fade L,5.0,-0.2981
04 Feb 26,25576.75,25563.5,125.0,S,FvgS,5.0,0.0489
04 Feb 26,25556.25,25477.25,1565.0,S,LvlS,10.0,0.3062
05 Feb 26,25557.5,25546.25,105.0,S,FvgS,5.0,0.0411
05 Feb 26,25557.5,25552.25,45.0,S,FvgS,5.0,0.0176
05 Feb 26,25579.25,25619.0,780.0,L,LvlL,10.0,0.1525
05 Feb 26,25560.5,25537.0,227.5,S,FvgS,5.0,0.089
05 Feb 26,25560.5,25555.25,45.0,S,FvgS,5.0,0.0176
05 Feb 26,25580.0,25520.25,-1210.0,L,LvlL,10.0,-0.2365
05 Feb 26,25533.25,25503.5,580.0,S,LvlS,10.0,0.1136
05 Feb 26,25145.5,25266.0,1197.5,L,RTl,5.0,0.4762
05 Feb 26,25172.25,25266.0,930.0,L,RTaL,5.0,0.3695
05 Feb 26,25240.5,25276.25,1050.0,L,F13L,15.0,0.1387
05 Feb 26,25240.5,25307.0,657.5,L,F13L,5.0,0.2605
05 Feb 26,25240.5,25310.25,1380.0,L,F13L,10.0,0.2734
05 Feb 26,25144.25,25179.25,342.5,L,PMF long lim,5.0,0.1362
05 Feb 26,24929.0,25020.0,1805.0,L,SydL,10.0,0.362
