# Lantern (MNQ 20:00 Tokyo Open Fade) - best return-on-drawdown window 01 Jan 2026 to 28 Aug 2026 - closed trades at Multiplier 4 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
01 Jan 26,26053.5,26129.0,-610.0
01 Jan 26,26053.5,26129.0,-610.0
06 Jan 26,26095.75,26171.25,-610.0
06 Jan 26,26095.75,26171.25,-610.0
07 Jan 26,26325.75,26276.5,-800.0
07 Jan 26,26299.0,26276.5,-372.0
08 Jan 26,26312.75,26237.25,-610.0
08 Jan 26,26312.75,26237.25,-610.0
09 Jan 26,26164.75,26193.5,448.0
09 Jan 26,26202.25,26193.5,-152.0
13 Jan 26,26372.25,26414.5,664.0
13 Jan 26,26408.0,26414.5,92.0
14 Jan 26,26431.5,26349.5,650.0
14 Jan 26,26431.5,26349.5,650.0
14 Jan 26,26391.25,26364.25,420.0
15 Jan 26,26076.5,26158.5,650.0
15 Jan 26,26076.5,26158.5,650.0
15 Jan 26,26114.5,26210.0,1516.0
16 Jan 26,26257.75,26330.5,1152.0
16 Jan 26,26292.5,26330.5,596.0
20 Jan 26,25919.5,25837.5,650.0
20 Jan 26,25919.5,25837.5,650.0
20 Jan 26,25881.5,25825.75,880.0
21 Jan 26,25718.75,25706.5,184.0
21 Jan 26,25682.5,25706.5,-396.0
22 Jan 26,26078.0,25996.0,650.0
22 Jan 26,26078.0,25996.0,650.0
22 Jan 26,26038.5,26053.0,-244.0
23 Jan 26,26194.5,26212.5,-300.0
26 Jan 26,26426.5,26502.0,-610.0
26 Jan 26,26426.5,26502.0,-610.0
28 Jan 26,26638.0,26720.0,650.0
28 Jan 26,26638.0,26720.0,650.0
28 Jan 26,26612.5,26720.0,854.0
29 Jan 26,26612.5,26761.0,1182.0
29 Jan 26,26678.5,26761.0,1308.0
29 Jan 26,26388.25,26312.75,-610.0
29 Jan 26,26388.25,26312.75,-610.0
03 Feb 26,26447.25,26498.5,808.0
03 Feb 26,26484.25,26498.5,216.0
04 Feb 26,25976.0,25985.75,-168.0
04 Feb 26,25940.5,25985.75,-736.0
04 Feb 26,25582.0,25506.5,-610.0
04 Feb 26,25582.0,25506.5,-610.0
05 Feb 26,24858.0,24940.0,650.0
05 Feb 26,24858.0,24940.0,650.0
05 Feb 26,24910.25,25073.0,1296.0
05 Feb 26,24910.25,25073.0,1296.0
10 Feb 26,25824.75,25817.75,-124.0
10 Feb 26,25797.25,25817.75,316.0
10 Feb 26,25859.75,25817.75,-684.0
11 Feb 26,25828.25,25782.25,724.0
11 Feb 26,25791.5,25782.25,136.0
11 Feb 26,25752.0,25834.0,650.0
11 Feb 26,25752.0,25834.0,650.0
12 Feb 26,25790.0,25828.75,608.0
16 Feb 26,25279.25,25203.75,-610.0
16 Feb 26,25279.25,25203.75,-610.0
17 Feb 26,25247.75,25323.25,-610.0
17 Feb 26,25247.75,25323.25,-610.0
20 Feb 26,25390.0,25450.5,956.0
20 Feb 26,25429.5,25450.5,324.0
24 Feb 26,25334.0,25344.25,-176.0
24 Feb 26,25359.75,25344.25,236.0
24 Feb 26,25611.75,25529.75,650.0
24 Feb 26,25611.75,25529.75,650.0
25 Feb 26,25575.5,25555.75,304.0
26 Feb 26,25782.75,25842.25,940.0
26 Feb 26,25819.0,25842.25,360.0
27 Feb 26,25524.0,25556.0,-524.0
27 Feb 26,25482.75,25556.0,-1184.0
02 Mar 26,25390.75,25315.25,-610.0
02 Mar 26,25390.75,25315.25,-610.0
03 Mar 26,25169.5,25094.0,-610.0
03 Mar 26,25169.5,25094.0,-610.0
03 Mar 26,25209.0,25094.0,-926.0
03 Mar 26,25209.0,25094.0,-926.0
04 Mar 26,25678.5,25603.0,-610.0
04 Mar 26,25678.5,25603.0,-610.0
05 Mar 26,25553.25,25635.25,650.0
05 Mar 26,25553.25,25635.25,650.0
06 Mar 26,25589.75,25625.0,552.0
09 Mar 26,25424.5,25500.0,-610.0
09 Mar 26,25424.5,25500.0,-610.0
09 Mar 26,25450.75,25500.0,-400.0
09 Mar 26,25450.75,25500.0,-400.0
11 Mar 26,25604.75,25529.0,1200.0
11 Mar 26,25564.25,25529.0,552.0
11 Mar 26,25324.5,25242.5,650.0
11 Mar 26,25324.5,25242.5,650.0
12 Mar 26,25284.25,25272.25,180.0
13 Mar 26,25119.75,25090.75,452.0
13 Mar 26,25147.75,25090.75,900.0
13 Mar 26,25083.75,25090.75,-124.0
17 Mar 26,25123.25,25047.75,-610.0
17 Mar 26,25123.25,25047.75,-610.0
17 Mar 26,25097.5,25047.75,-404.0
17 Mar 26,25097.5,25047.75,-404.0
18 Mar 26,25367.0,25442.5,-610.0
18 Mar 26,25367.0,25442.5,-610.0
19 Mar 26,24953.0,24871.0,650.0
