# The Pendulum (MNQ 13:00 Confirmed Fade) - best return-on-drawdown window 01 Jul 2025 to 21 Aug 2026 - closed trades at Multiplier 16 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
01 Jul 25,23745.5,23728.0,536.0
01 Jul 25,23745.5,23712.75,1024.0
02 Jul 25,23817.75,23828.5,320.0
02 Jul 25,23817.75,23836.25,568.0
08 Jul 25,23891.75,23902.5,320.0
08 Jul 25,23891.75,23887.75,-152.0
11 Jul 25,23983.25,23995.25,360.0
11 Jul 25,23983.25,24005.5,688.0
14 Jul 25,24051.5,24043.25,240.0
14 Jul 25,24051.5,24036.25,464.0
15 Jul 25,24084.75,24102.25,536.0
15 Jul 25,24084.75,24117.25,1016.0
16 Jul 25,24024.0,24038.0,424.0
16 Jul 25,24024.0,24049.75,800.0
18 Jul 25,24206.0,24189.0,520.0
18 Jul 25,24206.0,24221.75,-528.0
22 Jul 25,24235.5,24200.0,1112.0
22 Jul 25,24235.5,24195.0,1272.0
24 Jul 25,24414.5,24395.5,584.0
24 Jul 25,24414.5,24379.25,1104.0
25 Jul 25,24432.25,24439.5,208.0
25 Jul 25,24432.25,24443.25,328.0
30 Jul 25,24519.0,24525.25,176.0
30 Jul 25,24519.0,24530.25,336.0
31 Jul 25,24403.75,24403.25,-40.0
31 Jul 25,24403.75,24403.25,-40.0
04 Aug 25,24281.25,24273.75,216.0
04 Aug 25,24281.25,24267.5,416.0
05 Aug 25,24190.5,24180.0,312.0
05 Aug 25,24190.5,24171.0,600.0
07 Aug 25,24414.0,24438.25,752.0
07 Aug 25,24414.0,24349.0,-2104.0
11 Aug 25,24725.75,24663.0,-2032.0
11 Aug 25,24725.75,24663.0,-2032.0
12 Aug 25,24903.0,24896.5,184.0
12 Aug 25,24903.0,24929.25,-864.0
13 Aug 25,24929.0,24915.25,416.0
13 Aug 25,24929.0,24903.5,792.0
14 Aug 25,24957.5,24950.0,216.0
14 Aug 25,24957.5,24943.75,416.0
15 Aug 25,24787.75,24799.0,336.0
15 Aug 25,24787.75,24808.75,648.0
18 Aug 25,24768.75,24785.25,-1104.0
19 Aug 25,24439.5,24455.75,496.0
19 Aug 25,24439.5,24469.5,936.0
20 Aug 25,24276.5,24329.75,-1728.0
20 Aug 25,24276.5,24329.75,-1728.0
