# Midas (MGC 24H Gold Book (5 legs)) - best return-on-drawdown window 02 Jan 2026 to 01 Sep 2026 - closed trades at Multiplier 4 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
02 Jan 26,4492.6,4502.3,382.0
04 Jan 26,4569.0,4581.1,478.0
04 Jan 26,4569.0,4580.9,470.0
05 Jan 26,4580.1,4598.4,726.0
05 Jan 26,4580.1,4592.0,470.0
05 Jan 26,4591.6,4609.9,726.0
05 Jan 26,4591.6,4603.5,470.0
05 Jan 26,4582.3,4608.7,-1062.0
05 Jan 26,4582.3,4608.7,-1062.0
05 Jan 26,4614.9,4626.6,462.0
05 Jan 26,4614.9,4626.8,470.0
06 Jan 26,4640.0,4618.6,-862.0
06 Jan 26,4640.0,4618.6,-862.0
06 Jan 26,4636.5,4654.9,730.0
06 Jan 26,4636.5,4648.4,470.0
06 Jan 26,4652.9,4643.4,374.0
07 Jan 26,4652.9,4633.9,754.0
07 Jan 26,4637.4,4627.7,382.0
07 Jan 26,4637.4,4618.1,766.0
07 Jan 26,4622.0,4612.6,370.0
07 Jan 26,4622.0,4603.2,746.0
08 Jan 26,4596.8,4585.7,438.0
08 Jan 26,4596.8,4597.8,-46.0
08 Jan 26,4597.8,4620.6,906.0
08 Jan 26,4634.5,4624.8,382.0
08 Jan 26,4631.6,4638.9,-298.0
09 Jan 26,4666.3,4670.6,-178.0
12 Jan 26,4789.3,4769.6,782.0
12 Jan 26,4784.8,4775.1,382.0
12 Jan 26,4762.1,4752.0,398.0
13 Jan 26,4762.1,4784.9,-918.0
13 Jan 26,4794.4,4767.8,1058.0
13 Jan 26,4768.3,4757.0,-458.0
13 Jan 26,4760.1,4769.8,382.0
13 Jan 26,4760.1,4749.7,-422.0
13 Jan 26,4775.3,4782.8,294.0
13 Jan 26,4778.9,4789.2,406.0
13 Jan 26,4778.9,4799.4,814.0
14 Jan 26,4800.3,4779.7,-830.0
14 Jan 26,4800.3,4779.7,-830.0
14 Jan 26,4773.5,4783.2,382.0
14 Jan 26,4786.4,4777.6,346.0
14 Jan 26,4786.4,4768.8,698.0
14 Jan 26,4781.3,4771.7,378.0
14 Jan 26,4781.3,4762.2,758.0
15 Jan 26,4762.0,4752.0,394.0
15 Jan 26,4762.0,4783.4,-862.0
15 Jan 26,4755.1,4787.9,1306.0
15 Jan 26,4789.3,4779.6,382.0
16 Jan 26,4777.0,4751.3,-1034.0
16 Jan 26,4777.0,4751.3,-1034.0
16 Jan 26,4767.8,4788.9,-850.0
16 Jan 26,4767.8,4788.9,-850.0
16 Jan 26,4770.4,4745.6,986.0
16 Jan 26,4747.1,4756.8,382.0
18 Jan 26,4846.6,4824.5,-890.0
18 Jan 26,4846.6,4824.5,-890.0
18 Jan 26,4829.6,4840.0,410.0
19 Jan 26,4829.6,4841.5,470.0
19 Jan 26,4834.6,4844.4,386.0
19 Jan 26,4837.2,4844.9,604.0
19 Jan 26,4841.2,4831.4,386.0
19 Jan 26,4836.0,4856.1,798.0
20 Jan 26,4836.0,4876.2,1602.0
20 Jan 26,4893.5,4906.8,526.0
20 Jan 26,4901.3,4901.5,4.0
20 Jan 26,4901.5,4924.8,-938.0
20 Jan 26,4940.8,4947.7,270.0
20 Jan 26,4943.3,4961.4,718.0
20 Jan 26,4943.3,4979.5,1442.0
20 Jan 26,4988.6,5000.5,470.0
20 Jan 26,4988.6,5000.5,470.0
21 Jan 26,5035.7,5047.6,470.0
