# Headline Risk (MNQ 08:30 Range Fade — All Days) - best return-on-drawdown window 01 May 2025 to 21 Aug 2026 - closed trades at Multiplier 4 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
01 May 25,21109.0,21219.0,874.0
01 May 25,21109.0,21219.0,874.0
01 May 25,21112.0,21234.0,970.0
02 May 25,21329.25,21455.0,-2024.0
02 May 25,21300.0,21455.0,-1246.0
05 May 25,21214.0,21324.5,-1780.0
06 May 25,21069.0,20959.0,874.0
06 May 25,21069.0,21054.5,110.0
07 May 25,21167.75,21043.75,1972.0
07 May 25,21144.75,21043.75,802.0
09 May 25,21379.5,21321.0,-948.0
12 May 25,22072.25,21957.0,-1856.0
14 May 25,22504.5,22592.75,1400.0
16 May 25,22634.5,22649.5,228.0
16 May 25,22642.75,22649.5,48.0
19 May 25,22425.75,22529.75,-1676.0
20 May 25,22591.25,22636.5,712.0
21 May 25,22471.5,22740.75,4296.0
22 May 25,22436.75,22472.75,-588.0
22 May 25,22436.75,22472.75,-294.0
23 May 25,21972.5,22161.0,3004.0
26 May 25,22465.0,22488.75,368.0
28 May 25,22696.5,22671.5,-412.0
28 May 25,22712.25,22671.5,-332.0
29 May 25,22643.5,22658.0,110.0
29 May 25,22643.5,22658.0,110.0
29 May 25,22650.25,22643.75,-58.0
30 May 25,22457.5,22525.75,1080.0
02 Jun 25,22586.75,22638.5,-840.0
02 Jun 25,22567.0,22638.5,-578.0
03 Jun 25,22783.75,22881.25,-1572.0
03 Jun 25,22780.0,22881.25,-816.0
04 Jun 25,22928.0,22926.5,12.0
04 Jun 25,22918.0,22926.5,-74.0
05 Jun 25,23052.5,22942.5,874.0
05 Jun 25,23052.5,22927.5,994.0
09 Jun 25,23000.0,23032.0,500.0
10 Jun 25,23038.5,23077.75,616.0
10 Jun 25,23050.0,23077.75,216.0
12 Jun 25,23183.75,23123.25,956.0
13 Jun 25,22853.75,23043.5,3024.0
13 Jun 25,22863.25,23043.5,1436.0
16 Jun 25,23015.25,23177.0,2576.0
18 Jun 25,22961.25,23051.25,1428.0
18 Jun 25,22978.25,23051.25,578.0
19 Jun 25,22691.0,22694.75,48.0
20 Jun 25,23029.25,23113.75,-1364.0
23 Jun 25,22813.75,22925.25,1772.0
24 Jun 25,23340.25,23366.75,-436.0
25 Jun 25,23505.25,23440.5,1024.0
27 Jun 25,23704.5,23794.25,1424.0
30 Jun 25,23846.75,23856.5,144.0
01 Jul 25,23821.0,23711.0,874.0
01 Jul 25,23821.0,23696.0,994.0
02 Jul 25,23665.25,23742.25,-1244.0
03 Jul 25,24035.0,24082.75,-776.0
04 Jul 25,23904.0,23923.0,292.0
07 Jul 25,23949.0,23940.75,-144.0
08 Jul 25,23877.5,23893.75,248.0
08 Jul 25,23880.25,23893.75,102.0
09 Jul 25,23945.5,24015.0,-1124.0
10 Jul 25,23929.5,24013.75,1336.0
11 Jul 25,23866.75,23976.75,1748.0
14 Jul 25,23873.5,24008.5,2148.0
16 Jul 25,23993.75,23930.0,-1032.0
17 Jul 25,24161.75,24238.25,-1236.0
18 Jul 25,24269.25,24210.0,936.0
21 Jul 25,24250.75,24373.75,1956.0
22 Jul 25,24309.25,24168.75,-1130.0
22 Jul 25,24309.25,24168.75,-1130.0
23 Jul 25,24253.75,24231.25,348.0
23 Jul 25,24253.75,24231.25,174.0
25 Jul 25,24355.0,24442.25,1384.0
28 Jul 25,24482.25,24483.0,0.0
28 Jul 25,24491.5,24483.0,-74.0
29 Jul 25,24606.5,24496.5,874.0
29 Jul 25,24606.5,24496.5,874.0
29 Jul 25,24606.75,24481.5,996.0
30 Jul 25,24456.0,24529.5,1164.0
30 Jul 25,24464.25,24529.5,516.0
31 Jul 25,24641.0,24500.5,-1130.0
31 Jul 25,24641.0,24500.5,-1130.0
01 Aug 25,24008.0,23938.5,-1124.0
04 Aug 25,24087.75,24167.5,-1288.0
05 Aug 25,24324.0,24183.5,-1130.0
05 Aug 25,24324.0,24183.5,-1130.0
06 Aug 25,24186.25,24272.75,-1396.0
07 Aug 25,24646.5,24536.5,874.0
07 Aug 25,24646.5,24521.5,994.0
08 Aug 25,24557.0,24645.25,-1424.0
11 Aug 25,24696.5,24780.0,1324.0
11 Aug 25,24710.75,24780.0,548.0
13 Aug 25,25030.75,24932.0,1568.0
15 Aug 25,24865.5,24791.75,-1192.0
18 Aug 25,24774.5,24751.5,356.0
18 Aug 25,24775.25,24751.5,184.0
19 Aug 25,24744.75,24604.25,-1130.0
19 Aug 25,24744.75,24604.25,-1130.0
20 Aug 25,24378.5,24306.0,-1172.0
20 Aug 25,24375.5,24306.0,-562.0
22 Aug 25,24205.25,24465.75,4156.0
25 Aug 25,24489.5,24575.5,-1388.0
26 Aug 25,24490.75,24513.0,-368.0
26 Aug 25,24486.25,24513.0,-220.0
27 Aug 25,24543.0,24598.0,868.0
28 Aug 25,24705.0,24595.0,874.0
28 Aug 25,24705.0,24580.0,994.0
29 Aug 25,24598.25,24522.25,-1228.0
01 Sep 25,24460.75,24482.0,328.0
02 Sep 25,24063.25,24173.25,874.0
02 Sep 25,24063.25,24173.25,874.0
02 Sep 25,24064.0,24188.25,988.0
03 Sep 25,24450.5,24422.25,440.0
03 Sep 25,24453.0,24422.25,240.0
04 Sep 25,24420.5,24530.5,874.0
04 Sep 25,24420.5,24545.5,994.0
05 Sep 25,24892.5,24598.75,4688.0
05 Sep 25,24886.25,24598.75,2294.0
08 Sep 25,24771.25,24855.0,-1352.0
09 Sep 25,24812.0,24805.5,-116.0
09 Sep 25,24815.5,24805.5,-86.0
12 Sep 25,24999.0,25097.0,1556.0
