# Slipstream (MNQ 10m FVG Continuation) - best return-on-drawdown window 01 Jan 2026 to 28 Aug 2026 - closed trades at Multiplier 5 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
01 Jan 26,26026.0,26037.75,220.0,L,FVGC long,10.0,0.0423
01 Jan 26,26026.0,26070.5,875.0,L,FVGC long,10.0,0.1681
05 Jan 26,26018.0,26068.0,985.0,L,FVGC long,10.0,0.1893
05 Jan 26,26018.0,26206.75,3760.0,L,FVGC long,10.0,0.7226
06 Jan 26,26075.0,26131.0,-1135.0,S,FVGC short,10.0,-0.2176
06 Jan 26,26075.0,26131.0,-1135.0,S,FVGC short,10.0,-0.2176
06 Jan 26,26132.75,26145.75,245.0,L,FVGC long,10.0,0.0469
06 Jan 26,26132.75,26181.75,965.0,L,FVGC long,10.0,0.1846
06 Jan 26,26234.0,26252.75,360.0,L,FVGC long,10.0,0.0686
06 Jan 26,26234.0,26239.25,90.0,L,FVGC long,10.0,0.0172
06 Jan 26,26234.0,26173.5,-1225.0,L,FVGC long,10.0,-0.2335
06 Jan 26,26234.0,26173.5,-1225.0,L,FVGC long,10.0,-0.2335
07 Jan 26,26347.75,26358.75,205.0,L,FVGC long,10.0,0.0389
07 Jan 26,26347.75,26389.0,810.0,L,FVGC long,10.0,0.1537
07 Jan 26,26347.75,26358.75,205.0,L,FVGC long,10.0,0.0389
07 Jan 26,26347.75,26389.0,810.0,L,FVGC long,10.0,0.1537
08 Jan 26,26292.75,26318.0,490.0,L,FVGC long,10.0,0.0932
08 Jan 26,26292.75,26211.0,-1650.0,L,FVGC long,10.0,-0.3138
08 Jan 26,26177.25,26160.75,315.0,S,FVGC short,10.0,0.0602
08 Jan 26,26177.25,26115.25,1225.0,S,FVGC short,10.0,0.234
09 Jan 26,26164.75,26210.5,-930.0,S,FVGC short,10.0,-0.1777
09 Jan 26,26164.75,26210.5,-930.0,S,FVGC short,10.0,-0.1777
09 Jan 26,26246.25,26257.0,200.0,L,FVGC long,10.0,0.0381
09 Jan 26,26246.25,26286.5,790.0,L,FVGC long,10.0,0.1505
09 Jan 26,26306.75,26376.0,1370.0,L,FVGC long,10.0,0.2604
09 Jan 26,26306.75,26437.5,2600.0,L,FVGC long,10.0,0.4942
13 Jan 26,26422.5,26407.25,290.0,S,FVGC short,10.0,0.0549
13 Jan 26,26422.5,26417.25,90.0,S,FVGC short,10.0,0.017
13 Jan 26,26439.75,26468.75,565.0,L,FVGC long,10.0,0.1068
13 Jan 26,26439.75,26445.0,90.0,L,FVGC long,10.0,0.017
13 Jan 26,26407.25,26416.75,175.0,L,FVGC long,10.0,0.0331
14 Jan 26,26407.25,26376.25,-635.0,L,FVGC long,10.0,-0.1202
14 Jan 26,26301.25,26257.0,870.0,S,FVGC short,10.0,0.1654
14 Jan 26,26301.25,26296.0,90.0,S,FVGC short,10.0,0.0171
14 Jan 26,26111.75,26119.75,-175.0,S,FVGC short,10.0,-0.0335
14 Jan 26,26111.75,26119.75,-175.0,S,FVGC short,10.0,-0.0335
14 Jan 26,26050.75,25983.25,1335.0,S,FVGC short,10.0,0.2562
14 Jan 26,26050.75,26045.5,90.0,S,FVGC short,10.0,0.0173
15 Jan 26,26321.5,26334.5,245.0,L,FVGC long,10.0,0.0465
15 Jan 26,26321.5,26370.5,965.0,L,FVGC long,10.0,0.1833
15 Jan 26,26321.5,26334.5,245.0,L,FVGC long,10.0,0.0465
15 Jan 26,26321.5,26370.5,965.0,L,FVGC long,10.0,0.1833
19 Jan 26,25850.75,25877.0,510.0,L,FVGC long,10.0,0.0986
20 Jan 26,25850.75,25856.0,90.0,L,FVGC long,10.0,0.0174
20 Jan 26,25657.5,25702.5,-915.0,S,FVGC short,10.0,-0.1783
20 Jan 26,25657.5,25702.5,-915.0,S,FVGC short,10.0,-0.1783
20 Jan 26,25832.5,25883.75,1010.0,L,FVGC long,10.0,0.1955
20 Jan 26,25832.5,25837.75,90.0,L,FVGC long,10.0,0.0174
20 Jan 26,25646.75,25727.75,-1635.0,S,FVGC short,10.0,-0.3188
20 Jan 26,25646.75,25727.75,-1635.0,S,FVGC short,10.0,-0.3188
20 Jan 26,25717.5,25705.0,235.0,S,FVGC short,10.0,0.0457
21 Jan 26,25717.5,25670.75,920.0,S,FVGC short,10.0,0.1789
21 Jan 26,25677.25,25662.75,275.0,S,FVGC short,10.0,0.0535
21 Jan 26,25677.25,25623.0,1070.0,S,FVGC short,10.0,0.2084
21 Jan 26,25611.75,25588.25,455.0,S,FVGC short,10.0,0.0888
21 Jan 26,25611.75,25606.5,90.0,S,FVGC short,10.0,0.0176
21 Jan 26,25784.75,25861.5,1520.0,L,FVGC long,10.0,0.2947
21 Jan 26,25784.75,26075.25,5795.0,L,FVGC long,10.0,1.1237
22 Jan 26,26028.25,26043.75,295.0,L,FVGC long,10.0,0.0567
22 Jan 26,26028.25,26087.0,1160.0,L,FVGC long,10.0,0.2228
23 Jan 26,26109.75,26098.75,205.0,S,FVGC short,10.0,0.0393
23 Jan 26,26109.75,26068.5,810.0,S,FVGC short,10.0,0.1551
25 Jan 26,26145.0,26139.75,90.0,S,FVGC short,10.0,0.0172
25 Jan 26,26145.0,26139.75,90.0,S,FVGC short,10.0,0.0172
26 Jan 26,26159.5,26125.75,-690.0,L,FVGC long,10.0,-0.1319
26 Jan 26,26159.5,26125.75,-690.0,L,FVGC long,10.0,-0.1319
26 Jan 26,26132.75,26164.75,-655.0,S,FVGC short,10.0,-0.1253
26 Jan 26,26132.75,26164.75,-655.0,S,FVGC short,10.0,-0.1253
26 Jan 26,26188.0,26206.25,350.0,L,FVGC long,10.0,0.0668
26 Jan 26,26188.0,26256.5,1355.0,L,FVGC long,10.0,0.2587
27 Jan 26,26521.25,26474.5,-950.0,L,FVGC long,10.0,-0.1791
27 Jan 26,26521.25,26474.5,-950.0,L,FVGC long,10.0,-0.1791
28 Jan 26,26735.25,26612.0,-2480.0,L,FVGC long,10.0,-0.4638
28 Jan 26,26735.25,26612.0,-2480.0,L,FVGC long,10.0,-0.4638
29 Jan 26,26689.75,26677.0,240.0,S,FVGC short,10.0,0.045
29 Jan 26,26689.75,26642.0,940.0,S,FVGC short,10.0,0.1761
