# The Alloy (MGC Level Reclaim + FVG Continuation (2-leg combo)) - best return-on-drawdown window 03 Nov 2025 to 19 Aug 2026 - closed trades at Multiplier 3 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
03 Nov 25,4221.2,4231.5,304.5,L,L,3.0,0.2405
03 Nov 25,4221.2,4233.1,352.5,L,L,3.0,0.2784
03 Nov 25,4227.8,4237.4,283.5,L,L,3.0,0.2235
03 Nov 25,4227.8,4206.3,-649.5,L,L,3.0,-0.5121
04 Nov 25,4195.0,4185.8,271.5,S,S,3.0,0.2157
04 Nov 25,4195.0,4176.7,544.5,S,S,3.0,0.4327
04 Nov 25,4179.2,4168.4,-1314.0,L,FvgL,12.0,-0.262
04 Nov 25,4155.8,4143.7,-1470.0,L,FvgL,12.0,-0.2948
04 Nov 25,4152.2,4142.8,277.5,S,S,3.0,0.2228
04 Nov 25,4152.2,4173.1,-631.5,S,S,3.0,-0.507
05 Nov 25,4178.4,4188.5,298.5,L,L,3.0,0.2381
05 Nov 25,4178.4,4190.3,352.5,L,L,3.0,0.2812
05 Nov 25,4201.9,4192.3,1134.0,S,FvgS,12.0,0.2249
05 Nov 25,4201.9,4192.3,1134.0,S,FvgS,12.0,0.2249
06 Nov 25,4196.4,4205.8,277.5,L,L,3.0,0.2204
06 Nov 25,4196.4,4215.2,559.5,L,L,3.0,0.4444
06 Nov 25,4222.7,4201.9,-628.5,L,L,3.0,-0.4961
06 Nov 25,4222.7,4201.9,-628.5,L,L,3.0,-0.4961
07 Nov 25,4196.5,4219.0,-679.5,S,S,3.0,-0.5397
07 Nov 25,4196.5,4219.0,-679.5,S,S,3.0,-0.5397
07 Nov 25,4216.3,4195.3,-634.5,L,L,3.0,-0.5016
07 Nov 25,4216.3,4195.3,-634.5,L,L,3.0,-0.5016
09 Nov 25,4213.9,4210.0,450.0,S,FvgS,12.0,0.089
10 Nov 25,4253.7,4272.1,547.5,L,L,3.0,0.429
10 Nov 25,4253.7,4290.5,1099.5,L,L,3.0,0.8616
10 Nov 25,4290.2,4308.4,541.5,L,L,3.0,0.4207
10 Nov 25,4290.2,4302.1,352.5,L,L,3.0,0.2739
10 Nov 25,4294.2,4293.5,-51.0,L,L,6.0,-0.0198
11 Nov 25,4336.1,4346.2,298.5,L,L,3.0,0.2295
11 Nov 25,4336.1,4348.0,352.5,L,L,3.0,0.271
11 Nov 25,4351.5,4331.0,-619.5,L,L,3.0,-0.4745
11 Nov 25,4351.5,4331.0,-619.5,L,L,3.0,-0.4745
11 Nov 25,4349.3,4328.0,-643.5,L,L,3.0,-0.4932
11 Nov 25,4349.3,4328.0,-643.5,L,L,3.0,-0.4932
12 Nov 25,4330.6,4340.2,283.5,L,L,3.0,0.2182
12 Nov 25,4330.6,4349.7,568.5,L,L,3.0,0.4376
12 Nov 25,4394.9,4422.1,-820.5,S,S,3.0,-0.6223
12 Nov 25,4394.9,4422.1,-820.5,S,S,3.0,-0.6223
13 Nov 25,4418.5,4437.1,553.5,L,L,3.0,0.4176
13 Nov 25,4418.5,4430.4,352.5,L,L,3.0,0.2659
13 Nov 25,4446.3,4423.5,-688.5,L,L,3.0,-0.5162
13 Nov 25,4446.3,4423.5,-688.5,L,L,3.0,-0.5162
13 Nov 25,4381.3,4370.2,-1350.0,L,FvgL,12.0,-0.2568
13 Nov 25,4359.5,4369.1,1134.0,L,FvgL,12.0,0.2168
13 Nov 25,4369.9,4379.5,1134.0,L,FvgL,12.0,0.2163
14 Nov 25,4361.9,4351.5,307.5,S,S,3.0,0.235
14 Nov 25,4361.9,4341.1,619.5,S,S,3.0,0.4734
14 Nov 25,4323.3,4312.8,310.5,S,S,3.0,0.2394
14 Nov 25,4323.3,4302.4,622.5,S,S,3.0,0.48
16 Nov 25,4291.6,4277.7,412.5,S,S,3.0,0.3204
16 Nov 25,4291.6,4279.7,352.5,S,S,3.0,0.2738
17 Nov 25,4285.2,4274.5,316.5,S,S,3.0,0.2462
17 Nov 25,4285.2,4263.8,637.5,S,S,3.0,0.4959
17 Nov 25,4279.8,4269.9,292.5,S,S,3.0,0.2278
17 Nov 25,4279.8,4272.5,214.5,S,S,3.0,0.1671
17 Nov 25,4271.0,4280.6,1134.0,L,FvgL,12.0,0.2213
17 Nov 25,4271.0,4264.1,-846.0,L,FvgL,12.0,-0.1651
17 Nov 25,4238.5,4228.4,298.5,S,S,3.0,0.2348
17 Nov 25,4238.5,4218.4,598.5,S,S,3.0,0.4707
18 Nov 25,4214.2,4204.9,274.5,S,S,3.0,0.2171
18 Nov 25,4214.2,4234.8,-622.5,S,S,3.0,-0.4924
18 Nov 25,4236.4,4248.0,343.5,L,L,3.0,0.2703
18 Nov 25,4236.4,4259.5,688.5,L,L,3.0,0.5417
19 Nov 25,4278.1,4288.0,292.5,L,L,3.0,0.2279
19 Nov 25,4278.1,4297.9,589.5,L,L,3.0,0.4593
19 Nov 25,4284.3,4293.8,280.5,L,L,3.0,0.2182
19 Nov 25,4284.3,4303.2,562.5,L,L,3.0,0.4376
19 Nov 25,4314.7,4324.3,283.5,L,L,3.0,0.219
19 Nov 25,4314.7,4326.6,352.5,L,L,3.0,0.2723
