# The Bullion (MGC London Breakout) - best return-on-drawdown window 20 Feb 2026 to 04 Aug 2026 - closed trades at Multiplier 11 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
20 Feb 26,5164.1,5174.6,1128.6,L,loL,11.0,0.1987
23 Feb 26,5278.4,5270.6,831.5999999999999,S,loS,11.0,0.1432
24 Feb 26,5315.0,5305.7,996.5999999999999,S,loS,11.0,0.1705
25 Feb 26,5337.6,5343.0,567.6,L,loL,11.0,0.0967
26 Feb 26,5322.0,5311.4,1139.6,S,loS,11.0,0.1947
27 Feb 26,5319.9,5314.5,567.6,S,loS,11.0,0.097
02 Mar 26,5543.9,5534.0,1062.6,S,loS,11.0,0.1742
03 Mar 26,5458.2,5444.5,1480.6,S,loS,11.0,0.2466
04 Mar 26,5311.6,5333.5,2382.6,L,loL,11.0,0.4078
05 Mar 26,5276.4,5257.1,2096.6,S,loS,11.0,0.3612
06 Mar 26,5245.4,5233.7,1260.6,S,loS,11.0,0.2185
09 Mar 26,5232.8,5222.2,1139.6,S,loS,11.0,0.198
10 Mar 26,5323.5,5332.9,1007.5999999999999,L,loL,11.0,0.1721
11 Mar 26,5322.3,5312.8,1018.5999999999999,S,loS,11.0,0.174
12 Mar 26,5313.3,5305.5,831.5999999999999,S,loS,11.0,0.1423
13 Mar 26,5196.5,5179.6,1832.6,S,loS,11.0,0.3206
16 Mar 26,5133.5,5144.7,1205.6,L,loL,11.0,0.2135
17 Mar 26,5157.9,5164.2,666.6,L,loL,11.0,0.1175
18 Mar 26,5118.0,5109.1,952.5999999999999,S,loS,11.0,0.1692
19 Mar 26,4827.0,4791.1,3922.6000000000004,S,loS,11.0,0.7388
20 Mar 26,4847.6,4861.7,1524.6,L,loL,11.0,0.2859
23 Mar 26,4390.0,4439.1,5374.6,L,loL,11.0,1.113
24 Mar 26,4530.0,4512.8,1865.6,S,loS,11.0,0.3744
25 Mar 26,4691.1,4709.4,1986.6,L,loL,11.0,0.385
26 Mar 26,4561.7,4544.0,1920.6,S,loS,11.0,0.3828
27 Mar 26,4564.3,4557.3,743.5999999999999,S,loS,11.0,0.1481
30 Mar 26,4643.9,4654.3,-1170.4,S,loS,11.0,-0.2291
31 Mar 26,4671.5,4658.7,1381.6,S,loS,11.0,0.2689
01 Apr 26,4854.9,4872.1,1865.6,L,loL,11.0,0.3493
02 Apr 26,4744.2,4766.8,2459.6,L,loL,11.0,0.4713
06 Apr 26,4765.3,4795.1,-3304.3999999999996,S,loS,11.0,-0.6304
07 Apr 26,4767.2,4759.7,798.5999999999999,S,loS,11.0,0.1523
08 Apr 26,4927.9,4917.0,1172.6,S,loS,11.0,0.2163
09 Apr 26,4824.1,4888.8,-7143.4,S,loS,11.0,-1.3462
10 Apr 26,4872.8,4884.3,1238.6,L,loL,11.0,0.2311
13 Apr 26,4856.1,4840.2,-1775.4,L,loL,11.0,-0.3324
14 Apr 26,4896.4,4881.7,1590.6,S,loS,11.0,0.2953
15 Apr 26,4935.0,4941.8,721.5999999999999,L,loL,11.0,0.1329
16 Apr 26,4937.3,4929.7,809.5999999999999,S,loS,11.0,0.1491
17 Apr 26,4906.4,4912.5,644.6,L,loL,11.0,0.1194
20 Apr 26,4916.2,4923.2,743.5999999999999,L,loL,11.0,0.1375
21 Apr 26,4899.8,4911.4,1249.6,L,loL,11.0,0.2318
22 Apr 26,4876.6,4870.3,666.6,S,loS,11.0,0.1243
23 Apr 26,4816.5,4807.9,919.5999999999999,S,loS,11.0,0.1736
