# The Fix (MGC London Breakout) - best return-on-drawdown window 02 Feb 2026 to 04 Aug 2026 - closed trades at Multiplier 44 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
02 Feb 26,4845.7,4838.9,2886.3999999999996,S,London fade short,44.0,0.1354
04 Feb 26,5207.4,5214.2,2886.3999999999996,L,London fade long,44.0,0.126
05 Feb 26,5029.3,5020.6,-3933.6000000000004,L,London fade long,44.0,-0.1778
06 Feb 26,5026.9,5020.1,2886.3999999999996,S,London fade short,44.0,0.1305
09 Feb 26,5187.1,5180.3,2886.3999999999996,S,London fade short,44.0,0.1265
10 Feb 26,5203.1,5196.3,2886.3999999999996,S,London fade short,44.0,0.1261
12 Feb 26,5202.9,5209.7,2886.3999999999996,L,London fade long,44.0,0.1261
18 Feb 26,5066.4,5057.7,-3933.6000000000004,L,London fade long,44.0,-0.1765
19 Feb 26,5164.0,5157.2,2886.3999999999996,S,London fade short,44.0,0.127
20 Feb 26,5174.2,5182.9,-3933.6000000000004,S,London fade short,44.0,-0.1728
23 Feb 26,5296.6,5305.3,-3933.6000000000004,S,London fade short,44.0,-0.1688
25 Feb 26,5342.7,5335.9,2886.3999999999996,S,London fade short,44.0,0.1228
26 Feb 26,5311.8,5318.6,2886.3999999999996,L,London fade long,44.0,0.1235
27 Feb 26,5314.8,5321.6,2886.3999999999996,L,London fade long,44.0,0.1234
02 Mar 26,5534.4,5541.2,2886.3999999999996,L,London fade long,44.0,0.1185
03 Mar 26,5445.2,5452.0,2886.3999999999996,L,London fade long,44.0,0.1205
04 Mar 26,5332.5,5325.7,2886.3999999999996,S,London fade short,44.0,0.123
06 Mar 26,5234.2,5241.0,2886.3999999999996,L,London fade long,44.0,0.1253
09 Mar 26,5222.6,5229.4,2886.3999999999996,L,London fade long,44.0,0.1256
11 Mar 26,5313.2,5320.0,2886.3999999999996,L,London fade long,44.0,0.1235
16 Mar 26,5107.6,5114.4,2886.3999999999996,L,London fade long,44.0,0.1284
18 Mar 26,5109.5,5116.3,2886.3999999999996,L,London fade long,44.0,0.1284
20 Mar 26,4861.1,4854.3,2886.3999999999996,S,London fade short,44.0,0.1349
23 Mar 26,4436.9,4430.1,2886.3999999999996,S,London fade short,44.0,0.1479
26 Mar 26,4544.8,4551.6,2886.3999999999996,L,London fade long,44.0,0.1443
27 Mar 26,4557.6,4548.9,-3933.6000000000004,L,London fade long,44.0,-0.1962
02 Apr 26,4765.8,4759.0,2886.3999999999996,S,London fade short,44.0,0.1376
07 Apr 26,4760.1,4766.9,2886.3999999999996,L,London fade long,44.0,0.1378
08 Apr 26,4917.5,4924.3,2886.3999999999996,L,London fade long,44.0,0.1334
15 Apr 26,4909.1,4915.9,2886.3999999999996,L,London fade long,44.0,0.1336
16 Apr 26,4930.1,4921.4,-3933.6000000000004,L,London fade long,44.0,-0.1813
17 Apr 26,4912.2,4905.4,2886.3999999999996,S,London fade short,44.0,0.1335
22 Apr 26,4870.6,4861.9,-3933.6000000000004,L,London fade long,44.0,-0.1836
23 Apr 26,4808.3,4799.6,-3933.6000000000004,L,London fade long,44.0,-0.1859
24 Apr 26,4800.7,4793.9,2886.3999999999996,S,London fade short,44.0,0.1366
28 Apr 26,4723.7,4730.5,2886.3999999999996,L,London fade long,44.0,0.1389
29 Apr 26,4672.5,4679.3,2886.3999999999996,L,London fade long,44.0,0.1404
04 May 26,4682.6,4689.4,2886.3999999999996,L,London fade long,44.0,0.1401
08 May 26,4806.1,4812.9,2886.3999999999996,L,London fade long,44.0,0.1365
11 May 26,4770.0,4776.8,2886.3999999999996,L,London fade long,44.0,0.1375
14 May 26,4811.3,4804.5,2886.3999999999996,S,London fade short,44.0,0.1363
25 May 26,4651.4,4658.2,2886.3999999999996,L,London fade long,44.0,0.141
26 May 26,4611.7,4618.5,2886.3999999999996,L,London fade long,44.0,0.1422
01 Jun 26,4582.4,4589.2,2886.3999999999996,L,London fade long,44.0,0.1432
02 Jun 26,4615.8,4622.6,2886.3999999999996,L,London fade long,44.0,0.1421
03 Jun 26,4537.4,4544.2,2886.3999999999996,L,London fade long,44.0,0.1446
10 Jun 26,4270.8,4262.1,-3933.6000000000004,L,London fade long,44.0,-0.2093
11 Jun 26,4187.0,4180.2,2886.3999999999996,S,London fade short,44.0,0.1567
15 Jun 26,4405.3,4414.0,-3933.6000000000004,S,London fade short,44.0,-0.2029
16 Jun 26,4416.1,4424.8,-3933.6000000000004,S,London fade short,44.0,-0.2024
19 Jun 26,4249.6,4242.8,2886.3999999999996,S,London fade short,44.0,0.1544
22 Jun 26,4284.2,4292.9,-3933.6000000000004,S,London fade short,44.0,-0.2087
23 Jun 26,4173.3,4180.1,2886.3999999999996,L,London fade long,44.0,0.1572
24 Jun 26,4157.7,4164.5,2886.3999999999996,L,London fade long,44.0,0.1578
25 Jun 26,4074.6,4067.8,2886.3999999999996,S,London fade short,44.0,0.161
26 Jun 26,4117.4,4110.6,2886.3999999999996,S,London fade short,44.0,0.1593
30 Jun 26,4110.8,4104.0,2886.3999999999996,S,London fade short,44.0,0.1596
06 Jul 26,4232.1,4225.3,2886.3999999999996,S,London fade short,44.0,0.155
07 Jul 26,4210.1,4203.3,2886.3999999999996,S,London fade short,44.0,0.1558
08 Jul 26,4179.1,4170.4,-3933.6000000000004,L,London fade long,44.0,-0.2139
10 Jul 26,4173.3,4164.6,-3933.6000000000004,L,London fade long,44.0,-0.2142
13 Jul 26,4142.3,4135.5,2886.3999999999996,S,London fade short,44.0,0.1584
15 Jul 26,4088.5,4095.3,2886.3999999999996,L,London fade long,44.0,0.1605
20 Jul 26,4077.0,4085.7,-3933.6000000000004,S,London fade short,44.0,-0.2193
21 Jul 26,4127.2,4134.0,2886.3999999999996,L,London fade long,44.0,0.1589
22 Jul 26,4187.8,4181.0,2886.3999999999996,S,London fade short,44.0,0.1566
24 Jul 26,4122.7,4115.9,2886.3999999999996,S,London fade short,44.0,0.1591
28 Jul 26,4116.0,4109.2,2886.3999999999996,S,London fade short,44.0,0.1594
30 Jul 26,4117.4,4126.1,-3933.6000000000004,S,London fade short,44.0,-0.2171
03 Aug 26,4109.2,4116.0,2886.3999999999996,L,London fade long,44.0,0.1596
04 Aug 26,4126.9,4120.1,2886.3999999999996,S,London fade short,44.0,0.159
