# The Ingot (MGC Overnight Level Sweep-Reclaim (5m)) - best return-on-drawdown window 04 Jan 2026 to 07 Aug 2026 - closed trades at Multiplier 5 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
04 Jan 26,4569.0,4581.1,593.0,L,L,5.0,0.2596
04 Jan 26,4569.0,4580.9,583.0,L,L,5.0,0.2552
05 Jan 26,4580.1,4598.4,903.0,L,L,5.0,0.3943
05 Jan 26,4580.1,4592.0,583.0,L,L,5.0,0.2546
05 Jan 26,4591.6,4609.9,903.0,L,L,5.0,0.3933
05 Jan 26,4591.6,4603.5,583.0,L,L,5.0,0.2539
05 Jan 26,4582.3,4608.7,-1332.0,S,S,5.0,-0.5814
05 Jan 26,4582.3,4608.7,-1332.0,S,S,5.0,-0.5814
05 Jan 26,4614.9,4626.6,573.0,L,L,5.0,0.2483
05 Jan 26,4614.9,4626.8,583.0,L,L,5.0,0.2527
06 Jan 26,4640.0,4618.6,-1082.0,L,L,5.0,-0.4664
06 Jan 26,4640.0,4618.6,-1082.0,L,L,5.0,-0.4664
06 Jan 26,4633.9,4651.9,888.0,L,L,5.0,0.3833
06 Jan 26,4633.9,4645.8,583.0,L,L,5.0,0.2516
06 Jan 26,4652.9,4643.4,463.0,S,S,5.0,0.199
07 Jan 26,4652.9,4633.9,938.0,S,S,5.0,0.4032
07 Jan 26,4637.4,4627.7,473.0,S,S,5.0,0.204
07 Jan 26,4637.4,4618.1,953.0,S,S,5.0,0.411
07 Jan 26,4622.0,4612.6,458.0,S,S,5.0,0.1982
07 Jan 26,4622.0,4603.2,928.0,S,S,5.0,0.4016
08 Jan 26,4596.8,4585.7,543.0,S,S,5.0,0.2363
08 Jan 26,4596.8,4621.3,-1237.0,S,S,5.0,-0.5382
12 Jan 26,4762.1,4752.0,493.0,S,S,5.0,0.2071
13 Jan 26,4762.1,4784.9,-1152.0,S,S,5.0,-0.4838
13 Jan 26,4788.8,4807.2,908.0,L,L,5.0,0.3792
13 Jan 26,4788.8,4800.7,583.0,L,L,5.0,0.2435
13 Jan 26,4778.9,4789.2,503.0,L,L,5.0,0.2105
13 Jan 26,4778.9,4799.4,1013.0,L,L,5.0,0.4239
14 Jan 26,4800.3,4779.7,-1042.0,L,L,5.0,-0.4341
14 Jan 26,4800.3,4779.7,-1042.0,L,L,5.0,-0.4341
14 Jan 26,4786.4,4777.6,428.0,S,S,5.0,0.1788
14 Jan 26,4786.4,4768.8,868.0,S,S,5.0,0.3627
14 Jan 26,4781.3,4771.7,468.0,S,S,5.0,0.1958
14 Jan 26,4781.3,4762.2,943.0,S,S,5.0,0.3945
15 Jan 26,4762.0,4752.0,488.0,S,S,5.0,0.205
15 Jan 26,4762.0,4783.4,-1082.0,S,S,5.0,-0.4544
15 Jan 26,4787.1,4766.5,-1042.0,L,L,5.0,-0.4353
15 Jan 26,4787.1,4766.5,-1042.0,L,L,5.0,-0.4353
15 Jan 26,4773.2,4783.8,518.0,L,L,5.0,0.217
15 Jan 26,4773.2,4784.1,533.0,L,L,5.0,0.2233
16 Jan 26,4777.0,4751.3,-1297.0,L,L,5.0,-0.543
16 Jan 26,4777.0,4751.3,-1297.0,L,L,5.0,-0.543
16 Jan 26,4767.8,4788.9,-1067.0,S,S,5.0,-0.4476
16 Jan 26,4767.8,4788.9,-1067.0,S,S,5.0,-0.4476
18 Jan 26,4846.6,4824.5,-1117.0,L,L,5.0,-0.4609
18 Jan 26,4846.6,4824.5,-1117.0,L,L,5.0,-0.4609
18 Jan 26,4829.6,4840.0,508.0,L,L,5.0,0.2104
19 Jan 26,4829.6,4841.5,583.0,L,L,5.0,0.2414
19 Jan 26,4837.2,4843.8,636.0,L,L,10.0,0.1315
19 Jan 26,4836.0,4856.1,993.0,L,L,5.0,0.4107
20 Jan 26,4836.0,4876.2,1998.0,L,L,5.0,0.8263
20 Jan 26,4903.5,4906.7,296.0,L,L,10.0,0.0604
20 Jan 26,4943.3,4961.4,893.0,L,L,5.0,0.3613
20 Jan 26,4943.3,4979.5,1798.0,L,L,5.0,0.7274
20 Jan 26,4988.6,5000.5,583.0,L,L,5.0,0.2337
20 Jan 26,4988.6,5000.5,583.0,L,L,5.0,0.2337
21 Jan 26,5035.7,5047.6,583.0,L,L,5.0,0.2315
