# The Kilo (MGC Tokyo Open (TOCOM)) - best return-on-drawdown window 08 Jan 2026 to 31 Aug 2026 - closed trades at Multiplier 16 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
08 Jan 26,4644.2,4637.8,1000.0
11 Jan 26,4726.6,4746.1,3096.0
13 Jan 26,4775.3,4782.8,1176.0
20 Jan 26,4940.8,4947.7,1080.0
28 Jan 26,5692.8,5749.1,8984.0
02 Feb 26,4968.5,4977.4,1400.0
05 Feb 26,4867.2,4830.9,5784.0
16 Feb 26,5123.3,5110.9,1960.0
04 Mar 26,5303.2,5312.7,1496.0
05 Mar 26,5205.5,5215.7,-1656.0
08 Mar 26,5198.5,5162.8,5688.0
10 Mar 26,5338.5,5346.0,1176.0
12 Mar 26,5235.5,5242.6,1112.0
16 Mar 26,5147.0,5142.7,-712.0
17 Mar 26,5136.9,5140.1,488.0
18 Mar 26,4977.4,4967.5,-1608.0
19 Mar 26,4783.6,4792.1,1336.0
22 Mar 26,4595.2,4574.6,3272.0
23 Mar 26,4540.1,4522.1,2856.0
24 Mar 26,4660.9,4688.9,4456.0
25 Mar 26,4654.7,4652.7,-344.0
29 Mar 26,4572.4,4552.1,3224.0
30 Mar 26,4642.7,4656.2,2136.0
31 Mar 26,4813.2,4822.3,1432.0
07 Apr 26,4966.7,4942.3,-3928.0
08 Apr 26,4815.6,4835.4,-3192.0
09 Apr 26,4869.4,4879.0,-1560.0
12 Apr 26,4786.2,4799.3,2072.0
15 Apr 26,4935.3,4940.9,872.0
16 Apr 26,4902.9,4898.6,664.0
19 Apr 26,4875.9,4867.8,1272.0
21 Apr 26,4852.4,4854.1,248.0
22 Apr 26,4830.9,4826.4,696.0
23 Apr 26,4809.7,4816.2,1016.0
27 Apr 26,4804.0,4807.9,600.0
28 Apr 26,4705.1,4708.7,552.0
29 Apr 26,4664.4,4668.4,616.0
30 Apr 26,4732.0,4729.1,440.0
03 May 26,4711.0,4704.1,1080.0
04 May 26,4628.1,4632.1,616.0
05 May 26,4706.3,4722.0,2488.0
07 May 26,4808.5,4818.6,1592.0
10 May 26,4785.9,4779.5,1000.0
11 May 26,4863.7,4870.5,1064.0
13 May 26,4793.9,4789.9,616.0
14 May 26,4748.5,4741.9,1032.0
17 May 26,4629.0,4621.4,1192.0
19 May 26,4590.6,4597.0,1000.0
20 May 26,4642.7,4648.9,968.0
21 May 26,4624.6,4624.9,-72.0
25 May 26,4655.6,4645.6,1576.0
26 May 26,4612.7,4619.3,1032.0
27 May 26,4535.1,4528.6,1016.0
01 Jun 26,4568.5,4563.8,728.0
03 Jun 26,4542.2,4546.8,712.0
04 Jun 26,4546.7,4539.5,1128.0
07 Jun 26,4428.5,4405.0,-3784.0
08 Jun 26,4399.5,4413.1,-2200.0
09 Jun 26,4293.4,4275.4,2856.0
14 Jun 26,4373.4,4378.7,824.0
15 Jun 26,4401.9,4405.9,616.0
16 Jun 26,4411.6,4408.3,504.0
17 Jun 26,4374.2,4388.6,2280.0
18 Jun 26,4264.6,4263.6,136.0
21 Jun 26,4224.5,4216.3,1288.0
22 Jun 26,4273.3,4275.5,328.0
23 Jun 26,4167.3,4160.5,1064.0
24 Jun 26,4082.7,4090.0,1144.0
25 Jun 26,4092.2,4100.8,-1400.0
29 Jun 26,4084.4,4078.4,936.0
30 Jun 26,4074.9,4066.5,1320.0
02 Jul 26,4206.9,4211.2,664.0
05 Jul 26,4250.8,4259.5,-1416.0
06 Jul 26,4232.3,4230.1,328.0
08 Jul 26,4141.7,4138.9,424.0
09 Jul 26,4188.3,4185.4,440.0
12 Jul 26,4150.0,4156.4,1000.0
13 Jul 26,4060.4,4055.8,712.0
16 Jul 26,4047.9,4051.8,600.0
19 Jul 26,4051.1,4047.2,600.0
20 Jul 26,4079.2,4086.1,1080.0
21 Jul 26,4141.8,4157.5,-2536.0
22 Jul 26,4192.4,4198.2,904.0
23 Jul 26,4108.1,4105.9,328.0
26 Jul 26,4159.1,4164.7,872.0
27 Jul 26,4131.1,4128.5,392.0
28 Jul 26,4087.6,4070.6,-2744.0
29 Jul 26,4140.0,4131.5,1336.0
30 Jul 26,4157.0,4150.9,952.0
02 Aug 26,4133.4,4112.9,-3304.0
03 Aug 26,4114.0,4117.8,584.0
05 Aug 26,4330.9,4341.4,1656.0
06 Aug 26,4308.8,4287.0,-3512.0
09 Aug 26,4395.2,4389.3,920.0
10 Aug 26,4466.3,4472.4,952.0
11 Aug 26,4439.1,4447.3,1288.0
12 Aug 26,4473.0,4478.9,920.0
17 Aug 26,4484.6,4493.4,1384.0
18 Aug 26,4396.3,4393.5,-472.0
19 Aug 26,4567.6,4561.2,1000.0
20 Aug 26,4572.9,4565.6,1144.0
23 Aug 26,4680.3,4689.1,1384.0
24 Aug 26,4739.4,4746.9,1176.0
25 Aug 26,4710.0,4700.3,1528.0
27 Aug 26,4645.0,4647.2,-376.0
30 Aug 26,4497.6,4488.9,1368.0
31 Aug 26,4498.7,4502.6,600.0
