# The Print (MGC 08:30 Data Fade) - best return-on-drawdown window 08 Jan 2026 to 01 Sep 2026 - closed trades at Multiplier 2 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
08 Jan 26,4597.8,4622.1,483.0
09 Jan 26,4666.3,4670.6,-89.0
12 Jan 26,4789.3,4767.3,437.0
13 Jan 26,4794.4,4770.3,479.0
15 Jan 26,4755.1,4783.4,563.0
16 Jan 26,4770.4,4746.5,475.0
19 Jan 26,4834.6,4845.7,219.0
20 Jan 26,4901.5,4924.8,-469.0
21 Jan 26,5047.5,5024.4,459.0
22 Jan 26,4996.2,5029.8,-675.0
23 Jan 26,5105.7,5145.5,-799.0
26 Jan 26,5236.3,5243.0,-137.0
27 Jan 26,5229.2,5259.9,611.0
28 Jan 26,5415.7,5452.8,739.0
29 Jan 26,5689.1,5639.9,981.0
30 Jan 26,5164.5,5079.6,-1701.0
02 Feb 26,4894.2,4769.3,2495.0
03 Feb 26,5097.1,5051.3,913.0
05 Feb 26,4971.5,5041.0,1387.0
09 Feb 26,5165.6,5207.8,-847.0
10 Feb 26,5210.1,5186.5,469.0
11 Feb 26,5235.1,5237.4,-49.0
12 Feb 26,5229.2,5207.8,425.0
13 Feb 26,5151.6,5114.3,743.0
16 Feb 26,5139.6,5144.8,101.0
18 Feb 26,5099.0,5121.1,439.0
19 Feb 26,5145.8,5125.8,397.0
20 Feb 26,5180.4,5154.2,521.0
23 Feb 26,5294.0,5313.2,381.0
24 Feb 26,5277.9,5305.6,551.0
25 Feb 26,5338.1,5352.2,-285.0
26 Feb 26,5306.8,5333.1,523.0
27 Feb 26,5384.4,5386.0,-35.0
02 Mar 26,5533.9,5496.0,-761.0
03 Mar 26,5283.9,5222.7,-1227.0
04 Mar 26,5318.6,5256.6,-1243.0
05 Mar 26,5249.2,5191.6,-1155.0
06 Mar 26,5217.1,5283.1,1317.0
09 Mar 26,5238.2,5231.2,-143.0
10 Mar 26,5323.5,5366.6,-865.0
11 Mar 26,5306.6,5301.9,-97.0
12 Mar 26,5311.0,5290.4,409.0
13 Mar 26,5251.0,5232.6,365.0
16 Mar 26,5150.6,5116.8,-679.0
17 Mar 26,5147.5,5104.9,-855.0
18 Mar 26,5003.5,4970.3,-667.0
19 Mar 26,4688.0,4746.5,1167.0
20 Mar 26,4789.3,4726.6,-1257.0
23 Mar 26,4572.4,4639.1,-1337.0
24 Mar 26,4488.4,4559.2,1413.0
25 Mar 26,4681.9,4650.5,625.0
26 Mar 26,4555.8,4587.6,633.0
27 Mar 26,4560.0,4541.4,369.0
30 Mar 26,4686.5,4639.1,-951.0
31 Mar 26,4700.5,4727.5,537.0
01 Apr 26,4876.5,4900.0,-473.0
02 Apr 26,4734.8,4770.0,701.0
06 Apr 26,4799.6,4779.1,407.0
07 Apr 26,4773.9,4797.5,469.0
08 Apr 26,4919.6,4895.6,477.0
09 Apr 26,4868.3,4918.1,-999.0
10 Apr 26,4901.7,4865.1,729.0
13 Apr 26,4833.8,4854.5,-417.0
14 Apr 26,4882.0,4903.9,435.0
15 Apr 26,4925.3,4946.0,411.0
16 Apr 26,4937.3,4920.7,329.0
20 Apr 26,4924.5,4922.8,31.0
21 Apr 26,4876.2,4843.3,-661.0
22 Apr 26,4856.2,4848.3,-161.0
23 Apr 26,4843.1,4808.7,-691.0
24 Apr 26,4807.2,4828.2,417.0
27 Apr 26,4803.1,4791.3,-239.0
28 Apr 26,4696.5,4705.9,-191.0
29 Apr 26,4667.6,4653.6,277.0
30 Apr 26,4744.3,4720.9,465.0
01 May 26,4692.9,4709.2,323.0
04 May 26,4677.3,4655.4,435.0
05 May 26,4669.8,4684.0,281.0
06 May 26,4781.8,4802.4,409.0
07 May 26,4856.5,4836.4,399.0
08 May 26,4835.3,4806.4,575.0
11 May 26,4790.9,4818.5,549.0
12 May 26,4811.6,4786.6,497.0
13 May 26,4789.6,4772.9,331.0
14 May 26,4797.2,4779.6,-355.0
15 May 26,4653.9,4629.8,479.0
18 May 26,4669.1,4640.2,575.0
19 May 26,4633.0,4598.6,-691.0
20 May 26,4602.3,4578.1,481.0
21 May 26,4613.8,4648.4,-695.0
22 May 26,4619.5,4595.7,473.0
25 May 26,4666.9,4661.0,115.0
26 May 26,4606.7,4594.1,249.0
27 May 26,4535.2,4503.8,-631.0
02 Jun 26,4610.9,4575.2,-717.0
03 Jun 26,4550.3,4525.9,485.0
04 Jun 26,4591.6,4572.0,389.0
08 Jun 26,4411.8,4422.1,203.0
09 Jun 26,4427.9,4412.5,305.0
10 Jun 26,4223.0,4266.7,871.0
11 Jun 26,4159.6,4204.9,-909.0
12 Jun 26,4271.3,4292.1,413.0
15 Jun 26,4429.5,4412.3,341.0
16 Jun 26,4432.7,4418.2,287.0
17 Jun 26,4413.3,4452.1,-779.0
18 Jun 26,4319.2,4310.7,-173.0
21 Jun 26,4224.8,4225.1,3.0
22 Jun 26,4278.4,4260.3,-365.0
23 Jun 26,4191.3,4209.9,369.0
24 Jun 26,4082.5,4118.1,709.0
25 Jun 26,4089.2,4109.2,-403.0
26 Jun 26,4125.7,4152.0,-529.0
29 Jun 26,4123.2,4104.2,377.0
30 Jun 26,4085.9,4104.1,361.0
01 Jul 26,4096.6,4121.6,497.0
02 Jul 26,4215.7,4178.1,749.0
05 Jul 26,4244.7,4251.7,137.0
06 Jul 26,4219.8,4232.3,-253.0
07 Jul 26,4241.4,4221.3,399.0
08 Jul 26,4150.4,4126.5,475.0
10 Jul 26,4165.6,4181.9,323.0
13 Jul 26,4133.4,4118.1,303.0
15 Jul 26,4134.5,4111.7,453.0
16 Jul 26,4064.5,4050.1,-291.0
17 Jul 26,4028.0,4054.2,521.0
20 Jul 26,4080.5,4061.0,387.0
21 Jul 26,4114.6,4131.9,343.0
22 Jul 26,4188.9,4206.5,349.0
23 Jul 26,4126.1,4106.7,-391.0
24 Jul 26,4113.5,4132.1,369.0
27 Jul 26,4152.0,4128.8,461.0
28 Jul 26,4096.2,4080.1,319.0
29 Jul 26,4082.5,4069.7,253.0
30 Jul 26,4128.6,4152.1,467.0
31 Jul 26,4097.4,4108.9,227.0
04 Aug 26,4123.9,4141.7,353.0
05 Aug 26,4251.9,4273.1,421.0
06 Aug 26,4314.1,4301.1,-263.0
07 Aug 26,4432.2,4399.0,661.0
10 Aug 26,4392.5,4377.1,305.0
11 Aug 26,4458.2,4438.2,397.0
12 Aug 26,4499.1,4457.1,837.0
14 Aug 26,4428.1,4445.8,351.0
18 Aug 26,4446.3,4418.9,-551.0
19 Aug 26,4477.9,4507.5,-595.0
21 Aug 26,4643.1,4680.8,-757.0
24 Aug 26,4727.6,4702.4,501.0
25 Aug 26,4697.1,4677.7,385.0
26 Aug 26,4664.2,4653.8,-211.0
27 Aug 26,4639.3,4663.5,481.0
28 Aug 26,4656.1,4686.3,-607.0
31 Aug 26,4489.0,4488.6,-11.0
01 Sep 26,4418.6,4392.2,525.0
