# The Vault (MGC 08:30 Range Fade) - best return-on-drawdown window 05 Jan 2026 to 31 Jul 2026 - closed trades at Multiplier 18 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
05 Jan 26,4599.8,4617.3,-3193.2000000000003,S,rf short,18.0,-0.3857
06 Jan 26,4642.2,4650.1,-1465.2,S,rf short,18.0,-0.1753
07 Jan 26,4631.9,4637.5,-1051.2,S,rf short,18.0,-0.1261
08 Jan 26,4593.2,4638.2,8056.8,L,rf long,18.0,0.9745
09 Jan 26,4677.5,4678.0,-133.20000000000002,S,rf short,18.0,-0.0158
12 Jan 26,4792.6,4791.9,82.8,S,rf short,18.0,0.0096
13 Jan 26,4801.2,4781.7,3466.7999999999997,S,rf short,18.0,0.4011
16 Jan 26,4777.2,4776.5,82.8,S,rf short,18.0,0.0096
19 Jan 26,4831.3,4841.9,1864.8,L,rf long,18.0,0.2144
20 Jan 26,4909.6,4908.9,82.8,S,rf short,18.0,0.0094
22 Jan 26,5000.1,5016.1,-2923.2000000000003,S,rf short,18.0,-0.3248
23 Jan 26,5111.5,5110.8,82.8,S,rf short,18.0,0.009
26 Jan 26,5244.1,5262.1,-3283.2000000000003,S,rf short,18.0,-0.3478
27 Jan 26,5220.8,5221.5,82.8,L,rf long,18.0,0.0088
28 Jan 26,5399.2,5399.9,82.8,L,rf long,18.0,0.0085
29 Jan 26,5705.8,5643.5,11170.800000000001,S,rf short,18.0,1.0877
30 Jan 26,5143.8,5144.5,82.8,L,rf long,18.0,0.0089
02 Feb 26,4920.9,4920.2,82.8,S,rf short,18.0,0.0093
03 Feb 26,5110.1,5115.3,-979.1999999999999,S,rf short,18.0,-0.1065
06 Feb 26,5056.7,5094.2,6706.8,L,rf long,18.0,0.7368
09 Feb 26,5176.1,5175.4,82.8,S,rf short,18.0,0.0089
10 Feb 26,5218.4,5166.1,9370.800000000001,S,rf short,18.0,0.9976
13 Feb 26,5117.6,5163.2,8164.8,L,rf long,18.0,0.8864
16 Feb 26,5137.0,5130.4,-1231.2,L,rf long,18.0,-0.1332
17 Feb 26,5044.0,5026.5,-3193.2000000000003,L,rf long,18.0,-0.3517
19 Feb 26,5155.9,5155.2,82.8,S,rf short,18.0,0.0089
20 Feb 26,5190.1,5206.5,-2995.2000000000003,S,rf short,18.0,-0.3206
23 Feb 26,5291.6,5365.4,13240.800000000001,L,rf long,18.0,1.3901
24 Feb 26,5266.3,5267.0,82.8,L,rf long,18.0,0.0087
25 Feb 26,5342.6,5341.9,82.8,S,rf short,18.0,0.0086
26 Feb 26,5300.4,5288.6,-2167.2000000000003,L,rf long,18.0,-0.2272
27 Feb 26,5391.5,5383.4,1414.8,S,rf short,18.0,0.1458
02 Mar 26,5520.8,5495.7,-4561.2,L,rf long,18.0,-0.459
03 Mar 26,5245.8,5246.5,82.8,L,rf long,18.0,0.0088
05 Mar 26,5237.6,5238.3,82.8,L,rf long,18.0,0.0088
06 Mar 26,5227.2,5227.9,82.8,L,rf long,18.0,0.0088
09 Mar 26,5234.4,5225.6,-1627.2,L,rf long,18.0,-0.1727
10 Mar 26,5330.7,5340.9,-1879.2,S,rf short,18.0,-0.1958
11 Mar 26,5296.7,5297.4,82.8,L,rf long,18.0,0.0087
12 Mar 26,5315.3,5252.1,11332.800000000001,S,rf short,18.0,1.1845
16 Mar 26,5146.9,5147.6,82.8,L,rf long,18.0,0.0089
17 Mar 26,5144.1,5144.8,82.8,L,rf long,18.0,0.0089
18 Mar 26,4990.2,4990.9,82.8,L,rf long,18.0,0.0092
19 Mar 26,4639.5,4635.0,-853.1999999999999,L,rf long,18.0,-0.1022
23 Mar 26,4607.6,4606.9,82.8,S,rf short,18.0,0.01
25 Mar 26,4699.6,4698.9,82.8,S,rf short,18.0,0.0098
26 Mar 26,4551.3,4562.3,1936.8,L,rf long,18.0,0.2364
27 Mar 26,4565.8,4565.1,82.8,S,rf short,18.0,0.0101
30 Mar 26,4685.5,4686.2,82.8,L,rf long,18.0,0.0098
31 Mar 26,4693.5,4694.2,82.8,L,rf long,18.0,0.0098
01 Apr 26,4839.2,4902.8,11404.800000000001,L,rf long,18.0,1.3093
02 Apr 26,4730.6,4721.2,-1735.2,L,rf long,18.0,-0.2038
06 Apr 26,4805.8,4805.1,82.8,S,rf short,18.0,0.0096
07 Apr 26,4766.2,4766.9,82.8,L,rf long,18.0,0.0097
08 Apr 26,4924.8,4879.6,8092.8,S,rf short,18.0,0.9129
09 Apr 26,4874.9,4888.6,-2509.2000000000003,S,rf short,18.0,-0.286
10 Apr 26,4877.9,4883.7,1000.8000000000001,L,rf long,18.0,0.114
13 Apr 26,4842.5,4853.9,-2095.2000000000003,S,rf short,18.0,-0.2404
14 Apr 26,4877.7,4925.3,8524.800000000001,L,rf long,18.0,0.9709
