# Triad (MNQ Strong Book (3 legs)) - best return-on-drawdown window 01 Feb 2026 to 01 Sep 2026 - closed trades at Multiplier 3 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
01 Feb 26,26091.25,25988.0,1230.0,S,Fvg short lim,6.0,0.3929
02 Feb 26,26091.25,25699.75,4689.0,S,Fvg short lim,6.0,1.4976
02 Feb 26,25994.75,26005.0,114.0,L,Fvg long lim,6.0,0.0365
02 Feb 26,25994.75,26032.75,447.0,L,Fvg long lim,6.0,0.1433
02 Feb 26,26034.75,26145.25,-1335.0,S,MWF short lim,6.0,-0.4273
02 Feb 26,26314.25,26333.0,216.0,L,Fvg long lim,6.0,0.0684
02 Feb 26,26314.25,26384.75,837.0,L,Fvg long lim,6.0,0.2651
02 Feb 26,26356.75,26388.0,366.0,L,Fvg long lim,6.0,0.1157
02 Feb 26,26356.75,26362.0,54.0,L,Fvg long lim,6.0,0.0171
03 Feb 26,26450.0,26309.5,-847.5,L,TT long lim,3.0,-0.534
03 Feb 26,26401.0,26309.5,-553.5,L,TT long split,3.0,-0.3494
04 Feb 26,25964.0,25924.5,465.0,S,Fvg short lim,6.0,0.1492
04 Feb 26,25964.0,25814.25,1788.0,S,Fvg short lim,6.0,0.5739
04 Feb 26,25816.75,25683.0,-1614.0,L,MWF long lim,6.0,-0.521
04 Feb 26,25778.0,25772.75,54.0,S,Fvg short lim,6.0,0.0175
04 Feb 26,25778.0,25772.75,54.0,S,Fvg short lim,6.0,0.0175
04 Feb 26,25778.0,25731.75,546.0,S,Fvg short lim,6.0,0.1765
04 Feb 26,25778.0,25603.25,2088.0,S,Fvg short lim,6.0,0.675
04 Feb 26,25626.75,25615.5,126.0,S,Fvg short lim,6.0,0.041
04 Feb 26,25626.75,25584.25,501.0,S,Fvg short lim,6.0,0.1629
04 Feb 26,25626.75,25615.5,126.0,S,Fvg short lim,6.0,0.041
04 Feb 26,25626.75,25663.25,-447.0,S,Fvg short lim,6.0,-0.1454
05 Feb 26,25560.5,25537.0,273.0,S,Fvg short lim,6.0,0.089
05 Feb 26,25560.5,25555.25,54.0,S,Fvg short lim,6.0,0.0176
05 Feb 26,25145.5,25137.25,-54.0,L,TT long lim,3.0,-0.0358
05 Feb 26,25096.5,25250.5,919.5,L,TT long split,3.0,0.6106
05 Feb 26,25158.25,25250.5,549.0,L,TT confirm add,3.0,0.3637
05 Feb 26,25014.0,24964.75,582.0,S,Fvg short lim,6.0,0.1939
06 Feb 26,25014.0,25008.75,54.0,S,Fvg short lim,6.0,0.018
06 Feb 26,25311.0,25332.75,252.0,L,Fvg long lim,6.0,0.083
06 Feb 26,25311.0,25316.25,54.0,L,Fvg long lim,6.0,0.0178
06 Feb 26,25311.0,25240.25,-858.0,L,Fvg long lim,6.0,-0.2825
06 Feb 26,25311.0,25240.25,-858.0,L,Fvg long lim,6.0,-0.2825
06 Feb 26,25246.5,25540.25,3516.0,L,MWF long lim,6.0,1.1606
06 Feb 26,25272.0,25540.25,1605.0,L,MWF confirm add,3.0,1.0585
09 Feb 26,25587.5,25919.75,3978.0,L,MWF long lim,6.0,1.2956
09 Feb 26,25611.0,25919.75,1848.0,L,MWF confirm add,3.0,1.2026
09 Feb 26,25877.75,25901.0,270.0,L,Fvg long lim,6.0,0.0869
09 Feb 26,25877.75,25883.0,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25868.5,25899.5,363.0,L,Fvg long lim,6.0,0.1169
10 Feb 26,25868.5,25873.75,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25917.0,25812.0,625.5,S,TT short lim,3.0,0.4022
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
10 Feb 26,25864.25,25869.5,54.0,L,Fvg long lim,6.0,0.0174
11 Feb 26,25836.0,25799.5,-447.0,L,Fvg long lim,6.0,-0.1442
11 Feb 26,25836.0,25799.5,-447.0,L,Fvg long lim,6.0,-0.1442
11 Feb 26,25937.75,25579.25,4293.0,S,MWF short lim,6.0,1.3793
11 Feb 26,25932.25,25579.25,2113.5,S,MWF confirm add,3.0,1.3583
11 Feb 26,25695.0,25689.75,54.0,S,Fvg short lim,6.0,0.0175
11 Feb 26,25695.0,25689.75,54.0,S,Fvg short lim,6.0,0.0175
11 Feb 26,25695.0,25694.25,0.0,S,Fvg short lim,6.0,0.0
11 Feb 26,25695.0,25694.25,0.0,S,Fvg short lim,6.0,0.0
12 Feb 26,25743.25,25602.75,-847.5,L,TT long lim,3.0,-0.5487
12 Feb 26,25743.25,25602.75,-847.5,L,TT confirm add,3.0,-0.5487
12 Feb 26,25694.25,25602.75,-553.5,L,TT long split,3.0,-0.359
12 Feb 26,25324.0,25313.5,117.0,S,Fvg short lim,6.0,0.0385
12 Feb 26,25324.0,25357.75,-414.0,S,Fvg short lim,6.0,-0.1362
12 Feb 26,25318.25,25284.0,402.0,S,Fvg short lim,6.0,0.1323
12 Feb 26,25318.25,25313.0,54.0,S,Fvg short lim,6.0,0.0178
13 Feb 26,25204.5,25269.75,-792.0,S,Fvg short lim,6.0,-0.2619
13 Feb 26,25204.5,25269.75,-792.0,S,Fvg short lim,6.0,-0.2619
13 Feb 26,25219.0,25183.75,414.0,S,Fvg short lim,6.0,0.1368
13 Feb 26,25219.0,25213.75,54.0,S,Fvg short lim,6.0,0.0178
13 Feb 26,25219.0,25183.75,414.0,S,Fvg short lim,6.0,0.1368
13 Feb 26,25219.0,25213.75,54.0,S,Fvg short lim,6.0,0.0178
13 Feb 26,25148.5,25448.5,3591.0,L,MWF long lim,6.0,1.1899
16 Feb 26,25307.5,25410.5,-1245.0,S,Fvg short lim,6.0,-0.41
16 Feb 26,25307.5,25410.5,-1245.0,S,Fvg short lim,6.0,-0.41
16 Feb 26,25348.75,25211.75,-1653.0,L,MWF long lim,6.0,-0.5434
16 Feb 26,25267.0,25250.25,192.0,S,Fvg short lim,6.0,0.0633
16 Feb 26,25267.0,25321.25,-660.0,S,Fvg short lim,6.0,-0.2177
17 Feb 26,25172.25,25150.0,258.0,S,Fvg short lim,6.0,0.0854
17 Feb 26,25172.25,25088.75,993.0,S,Fvg short lim,6.0,0.3287
17 Feb 26,25137.75,25132.5,54.0,S,Fvg short lim,6.0,0.0179
17 Feb 26,25137.75,25132.5,54.0,S,Fvg short lim,6.0,0.0179
17 Feb 26,25035.0,25140.0,625.5,L,TT long lim,3.0,0.4164
17 Feb 26,24986.0,25140.0,919.5,L,TT long split,3.0,0.6133
17 Feb 26,25171.25,25176.5,54.0,L,Fvg long lim,6.0,0.0179
17 Feb 26,25171.25,25176.5,54.0,L,Fvg long lim,6.0,0.0179
17 Feb 26,25171.25,25310.0,1656.0,L,Fvg long lim,6.0,0.5482
17 Feb 26,25171.25,25279.5,1290.0,L,Fvg long lim,6.0,0.4271
17 Feb 26,25244.5,25257.25,144.0,L,Fvg long lim,6.0,0.0475
17 Feb 26,25244.5,25292.25,564.0,L,Fvg long lim,6.0,0.1862
18 Feb 26,25329.75,25340.0,114.0,L,Fvg long lim,6.0,0.0375
18 Feb 26,25329.75,25367.75,447.0,L,Fvg long lim,6.0,0.1471
18 Feb 26,25386.75,25401.75,171.0,L,Fvg long lim,6.0,0.0561
18 Feb 26,25386.75,25392.0,54.0,L,Fvg long lim,6.0,0.0177
18 Feb 26,25303.75,25620.25,3789.0,L,MWF long lim,6.0,1.2478
18 Feb 26,25330.0,25620.25,1737.0,L,MWF confirm add,3.0,1.1429
18 Feb 26,25464.0,25499.75,420.0,L,Fvg long lim,6.0,0.1374
18 Feb 26,25464.0,25469.25,54.0,L,Fvg long lim,6.0,0.0177
19 Feb 26,25336.75,25322.0,168.0,S,Fvg short lim,6.0,0.0553
19 Feb 26,25336.75,25281.25,657.0,S,Fvg short lim,6.0,0.2161
19 Feb 26,25336.75,25322.0,168.0,S,Fvg short lim,6.0,0.0553
19 Feb 26,25336.75,25331.5,54.0,S,Fvg short lim,6.0,0.0178
20 Feb 26,25363.5,25344.5,219.0,S,Fvg short lim,6.0,0.072
20 Feb 26,25363.5,25291.75,852.0,S,Fvg short lim,6.0,0.2799
20 Feb 26,25428.5,25551.5,-1485.0,S,MWF short lim,6.0,-0.4867
22 Feb 26,25517.25,25429.0,-1068.0,L,Fvg long lim,6.0,-0.3488
22 Feb 26,25517.25,25429.0,-1068.0,L,Fvg long lim,6.0,-0.3488
23 Feb 26,25460.75,25505.5,528.0,L,Fvg long lim,6.0,0.1728
23 Feb 26,25460.75,25466.0,54.0,L,Fvg long lim,6.0,0.0177
23 Feb 26,25399.5,25277.5,-1473.0,L,MWF long lim,6.0,-0.4833
24 Feb 26,25343.75,25356.5,144.0,L,Fvg long lim,6.0,0.0473
24 Feb 26,25343.75,25302.5,-504.0,L,Fvg long lim,6.0,-0.1657
24 Feb 26,25327.5,25306.25,246.0,S,Fvg short lim,6.0,0.0809
24 Feb 26,25327.5,25396.5,-837.0,S,Fvg short lim,6.0,-0.2754
24 Feb 26,25347.75,25362.5,168.0,L,Fvg long lim,6.0,0.0552
24 Feb 26,25347.75,25353.0,54.0,L,Fvg long lim,6.0,0.0178
24 Feb 26,25303.5,25408.5,625.5,L,TT long lim,3.0,0.412
25 Feb 26,25660.75,25777.0,-1404.0,S,MWF short lim,6.0,-0.4559
25 Feb 26,25787.25,25845.25,687.0,L,Fvg long lim,6.0,0.222
25 Feb 26,25787.25,25965.75,2133.0,L,Fvg long lim,6.0,0.6893
26 Feb 26,25731.75,25591.25,-847.5,L,TT long lim,3.0,-0.5489
26 Feb 26,25682.75,25591.25,-553.5,L,TT long split,3.0,-0.3592
27 Feb 26,25528.25,25498.75,345.0,S,Fvg short lim,6.0,0.1126
27 Feb 26,25528.25,25523.0,54.0,S,Fvg short lim,6.0,0.0176
27 Feb 26,25527.5,25508.5,219.0,S,Fvg short lim,6.0,0.0715
27 Feb 26,25527.5,25455.75,852.0,S,Fvg short lim,6.0,0.2781
27 Feb 26,25484.25,25462.75,249.0,S,Fvg short lim,6.0,0.0814
27 Feb 26,25484.25,25402.75,969.0,S,Fvg short lim,6.0,0.3169
27 Feb 26,25440.75,25466.5,-318.0,S,MWF short lim,6.0,-0.1042
27 Feb 26,25421.5,25466.5,-274.5,S,MWF confirm add,3.0,-0.18
02 Mar 26,25375.0,25205.0,2031.0,S,Fvg short lim,6.0,0.667
02 Mar 26,25375.0,25369.75,54.0,S,Fvg short lim,6.0,0.0177
02 Mar 26,25362.0,25478.25,-1404.0,S,MWF short lim,6.0,-0.4613
02 Mar 26,25371.5,25360.25,126.0,S,Fvg short lim,6.0,0.0414
