# Undercurrent (MNQ 08:30 Range Fade — Tue/Thu) - best return-on-drawdown window 06 Jan 2026 to 01 Sep 2026 - closed trades at Multiplier 7 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd
06 Jan 26,26110.0,26215.0,1459.5
08 Jan 26,26179.5,26150.0,-423.5
08 Jan 26,26130.5,26158.5,381.5
08 Jan 26,26179.5,26158.5,-304.5
15 Jan 26,26441.5,26420.75,280.0
20 Jan 26,25828.5,25870.0,-591.5
20 Jan 26,25829.25,25870.0,-581.0
20 Jan 26,25877.5,25870.0,94.5
22 Jan 26,26150.75,26179.5,392.0
22 Jan 26,26153.75,26179.5,350.0
22 Jan 26,26101.75,26179.5,1078.0
27 Jan 26,26486.5,26591.5,1459.5
27 Jan 26,26437.5,26591.5,2145.5
27 Jan 26,26485.0,26591.5,1480.5
29 Jan 26,26511.75,26371.25,-1977.5
29 Jan 26,26462.75,26371.25,-1291.5
03 Feb 26,26450.0,26309.5,-1977.5
03 Feb 26,26401.0,26309.5,-1291.5
05 Feb 26,25145.5,25137.25,-126.0
05 Feb 26,25096.5,25250.5,2145.5
05 Feb 26,25158.25,25250.5,1281.0
10 Feb 26,25917.0,25812.0,1459.5
12 Feb 26,25743.25,25602.75,-1977.5
12 Feb 26,25743.25,25602.75,-1977.5
12 Feb 26,25694.25,25602.75,-1291.5
17 Feb 26,25035.0,25140.0,1459.5
17 Feb 26,24986.0,25140.0,2145.5
24 Feb 26,25303.5,25408.5,1459.5
26 Feb 26,25731.75,25591.25,-1977.5
26 Feb 26,25682.75,25591.25,-1291.5
03 Mar 26,25099.0,25093.5,66.5
03 Mar 26,25148.0,25067.25,1120.0
03 Mar 26,25099.25,24994.0,1463.0
10 Mar 26,25535.0,25523.25,154.0
10 Mar 26,25584.0,25430.0,2145.5
10 Mar 26,25530.75,25430.0,1400.0
12 Mar 26,25206.25,25164.25,-598.5
12 Mar 26,25157.25,25164.25,87.5
12 Mar 26,25210.75,25164.25,-661.5
17 Mar 26,25296.75,25305.0,-126.0
17 Mar 26,25345.75,25300.0,630.0
17 Mar 26,25292.25,25300.0,-119.0
19 Mar 26,24667.75,24689.5,294.0
19 Mar 26,24618.75,24772.75,2145.5
19 Mar 26,24665.5,24772.75,1491.0
24 Mar 26,24466.25,24571.25,1459.5
24 Mar 26,24471.75,24571.25,1382.5
26 Mar 26,24488.25,24383.25,1459.5
26 Mar 26,24481.75,24383.25,1368.5
31 Mar 26,23815.5,23710.5,1459.5
31 Mar 26,23864.5,23710.5,2145.5
31 Mar 26,23805.75,23710.5,1323.0
02 Apr 26,24078.25,23973.25,1459.5
02 Apr 26,24069.5,23973.25,1337.0
07 Apr 26,24328.25,24433.25,1459.5
09 Apr 26,25257.25,25362.25,1459.5
14 Apr 26,26060.25,26184.75,-1753.5
14 Apr 26,26109.25,26184.75,-1067.5
16 Apr 26,26669.75,26774.75,1459.5
16 Apr 26,26673.5,26774.75,1407.0
16 Apr 26,26620.75,26774.75,2145.5
21 Apr 26,27052.25,27157.25,1459.5
23 Apr 26,27283.0,27388.0,1459.5
23 Apr 26,27290.75,27388.0,1351.0
28 Apr 26,27479.25,27374.25,1459.5
28 Apr 26,27528.25,27374.25,2145.5
28 Apr 26,27480.75,27374.25,1480.5
30 Apr 26,27689.25,27548.75,-1977.5
30 Apr 26,27640.25,27548.75,-1291.5
05 May 26,28367.75,28425.75,-822.5
05 May 26,28362.75,28425.75,-892.5
05 May 26,28416.75,28425.75,-136.5
07 May 26,29122.0,29112.75,119.0
07 May 26,29171.0,29112.75,805.0
07 May 26,29116.0,29112.75,35.0
12 May 26,29290.25,29149.75,-1977.5
12 May 26,29241.25,29149.75,-1291.5
14 May 26,29924.75,29819.75,1459.5
14 May 26,29973.75,29819.75,2145.5
19 May 26,29309.75,29204.75,1459.5
19 May 26,29358.75,29204.75,2145.5
26 May 26,30144.25,30249.25,1459.5
28 May 26,30402.75,30297.75,1459.5
02 Jun 26,30784.75,30889.75,1459.5
02 Jun 26,30735.75,30889.75,2145.5
02 Jun 26,30796.75,30889.75,1291.5
04 Jun 26,30469.0,30574.0,1459.5
09 Jun 26,30085.5,29980.5,1459.5
11 Jun 26,29265.0,29160.0,1459.5
11 Jun 26,29260.25,29160.0,1393.0
11 Jun 26,29314.0,29160.0,2145.5
16 Jun 26,30775.25,30880.25,1459.5
18 Jun 26,30573.0,30468.0,1459.5
23 Jun 26,29980.25,29875.25,1459.5
23 Jun 26,29978.75,29875.25,1438.5
25 Jun 26,29423.5,29528.5,1459.5
30 Jun 26,30338.5,30363.0,-353.5
30 Jun 26,30387.5,30479.0,-1291.5
30 Jun 26,30337.25,30479.0,-1995.0
07 Jul 26,29619.25,29478.75,-1977.5
07 Jul 26,29570.25,29478.75,-1291.5
09 Jul 26,29833.5,29728.5,1459.5
09 Jul 26,29882.5,29728.5,2145.5
09 Jul 26,29821.25,29728.5,1288.0
16 Jul 26,29299.0,29404.0,1459.5
16 Jul 26,29310.75,29404.0,1295.0
21 Jul 26,29175.5,29200.0,-353.5
21 Jul 26,29224.5,29070.5,2145.5
21 Jul 26,29170.0,29070.5,1382.5
23 Jul 26,28662.5,28767.5,1459.5
28 Jul 26,27883.5,27743.0,-1977.5
28 Jul 26,27834.5,27743.0,-1291.5
30 Jul 26,28130.5,28025.5,1459.5
30 Jul 26,28179.5,28025.5,2145.5
30 Jul 26,28122.25,28025.5,1344.0
04 Aug 26,29463.75,29604.25,-1977.5
04 Aug 26,29512.75,29604.25,-1291.5
06 Aug 26,29357.25,29462.25,1459.5
06 Aug 26,29308.25,29462.25,2145.5
06 Aug 26,29370.5,29462.25,1274.0
11 Aug 26,29782.0,29641.5,-1977.5
11 Aug 26,29733.0,29641.5,-1291.5
13 Aug 26,30197.75,30123.75,1025.5
13 Aug 26,30246.75,30123.75,1711.5
13 Aug 26,30198.75,30123.75,1039.5
18 Aug 26,29647.25,29617.75,-423.5
18 Aug 26,29598.25,29636.5,525.0
18 Aug 26,29662.25,29636.5,-371.0
20 Aug 26,29344.75,29328.0,224.0
20 Aug 26,29393.75,29325.0,952.0
20 Aug 26,29328.5,29325.0,38.5
25 Aug 26,29245.75,29233.75,-178.5
25 Aug 26,29196.75,29258.5,854.0
25 Aug 26,29254.75,29258.5,42.0
27 Aug 26,29487.5,29592.5,1459.5
27 Aug 26,29490.25,29592.5,1421.0
01 Sep 26,29076.0,29181.0,1459.5
01 Sep 26,29083.25,29181.0,1358.0
