# The Press (MNQ Overnight Level Sweep-Reclaim (5m)) - best return-on-drawdown window 02 Jan 2026 to 25 Aug 2026 - closed trades at Multiplier 6 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
02 Jan 26,26132.5,26251.75,4266.0,L,Lvl long,18.0,0.4535
05 Jan 26,25987.25,26047.0,-2178.0,S,Lvl short,18.0,-0.2328
05 Jan 26,26021.0,26053.75,1152.0,L,Lvl long,18.0,0.123
05 Jan 26,26058.75,26100.5,1476.0,L,Lvl long,18.0,0.1573
07 Jan 26,26272.25,26301.5,1026.0,L,Lvl long,18.0,0.1085
07 Jan 26,26339.0,26306.75,1134.0,S,Lvl short,18.0,0.1196
09 Jan 26,26186.75,26218.75,1125.0,L,Lvl long,18.0,0.1193
11 Jan 26,26413.5,26371.5,1485.0,S,Lvl short,18.0,0.1562
11 Jan 26,26251.0,26219.75,1098.0,S,Lvl short,18.0,0.1162
12 Jan 26,26241.75,26206.25,1251.0,S,Lvl short,18.0,0.1324
12 Jan 26,26190.25,26250.0,-2178.0,S,Lvl short,18.0,-0.231
12 Jan 26,26253.5,26287.75,1206.0,L,Lvl long,18.0,0.1276
12 Jan 26,26404.0,26371.5,1143.0,S,Lvl short,18.0,0.1202
13 Jan 26,26393.5,26453.25,-2178.0,S,Lvl short,18.0,-0.2292
13 Jan 26,26465.25,26497.25,1125.0,L,Lvl long,18.0,0.1181
14 Jan 26,26363.0,26333.5,1035.0,S,Lvl short,18.0,0.1091
14 Jan 26,26285.75,26256.5,1026.0,S,Lvl short,18.0,0.1084
18 Jan 26,25918.5,25882.25,1278.0,S,Lvl short,18.0,0.137
19 Jan 26,25893.25,25766.75,4527.0,S,Lvl short,18.0,0.4856
19 Jan 26,25805.25,25762.5,1512.0,S,Lvl short,18.0,0.1628
20 Jan 26,25930.75,25871.0,-2178.0,L,Lvl long,18.0,-0.2333
20 Jan 26,25791.25,25663.5,4572.0,S,Lvl short,18.0,0.4924
21 Jan 26,25710.25,25744.75,1215.0,L,Lvl long,18.0,0.1313
21 Jan 26,25717.25,25676.25,1449.0,S,Lvl short,18.0,0.1565
21 Jan 26,25693.5,25658.75,1224.0,S,Lvl short,18.0,0.1323
22 Jan 26,26091.25,26031.5,-2178.0,L,Lvl long,18.0,-0.2319
22 Jan 26,26184.75,26211.75,945.0,L,Lvl long,18.0,0.1002
22 Jan 26,26198.0,26234.75,1296.0,L,Lvl long,18.0,0.1374
23 Jan 26,26135.75,26103.75,1125.0,S,Lvl short,18.0,0.1196
23 Jan 26,26116.25,26085.0,1098.0,S,Lvl short,18.0,0.1168
26 Jan 26,26150.75,26180.75,1053.0,L,Lvl long,18.0,0.1119
27 Jan 26,26490.25,26550.0,-2178.0,S,Lvl short,18.0,-0.2284
27 Jan 26,26512.75,26481.25,1107.0,S,Lvl short,18.0,0.116
01 Feb 26,26024.0,25933.25,3240.0,S,Lvl short,18.0,0.3458
01 Feb 26,25868.25,25731.75,4887.0,S,Lvl short,18.0,0.5248
02 Feb 26,25788.5,25736.75,1836.0,S,Lvl short,18.0,0.1978
02 Feb 26,25723.0,25782.75,-2178.0,S,Lvl short,18.0,-0.2352
03 Feb 26,26494.25,26458.0,1278.0,S,Lvl short,18.0,0.134
03 Feb 26,26464.25,26436.5,972.0,S,Lvl short,18.0,0.102
03 Feb 26,26493.0,26433.25,-2178.0,L,Lvl long,18.0,-0.2284
04 Feb 26,25644.25,25584.5,-2178.0,L,Lvl long,18.0,-0.2359
05 Feb 26,25584.5,25619.0,1215.0,L,Lvl long,18.0,0.1319
05 Feb 26,25548.75,25520.75,981.0,S,Lvl short,18.0,0.1067
05 Feb 26,25533.25,25503.5,1044.0,S,Lvl short,18.0,0.1136
06 Feb 26,25056.5,25091.5,1233.0,L,Lvl long,18.0,0.1367
06 Feb 26,25262.0,25308.75,1656.0,L,Lvl long,18.0,0.1821
08 Feb 26,25716.25,25749.25,1161.0,L,Lvl long,18.0,0.1254
09 Feb 26,25702.5,25651.25,1818.0,S,Lvl short,18.0,0.1965
10 Feb 26,25812.5,25872.25,-2178.0,S,Lvl short,18.0,-0.2344
10 Feb 26,25894.75,25925.0,1062.0,L,Lvl long,18.0,0.1139
11 Feb 26,25791.75,25823.25,1107.0,L,Lvl long,18.0,0.1192
12 Feb 26,25821.5,25852.5,1089.0,L,Lvl long,18.0,0.1172
12 Feb 26,25847.0,25881.75,1224.0,L,Lvl long,18.0,0.1315
16 Feb 26,25369.75,25342.75,945.0,S,Lvl short,18.0,0.1035
17 Feb 26,25101.75,25161.5,-2178.0,S,Lvl short,18.0,-0.241
17 Feb 26,25133.0,25102.25,1080.0,S,Lvl short,18.0,0.1194
17 Feb 26,25304.75,25334.75,1053.0,L,Lvl long,18.0,0.1156
18 Feb 26,25335.75,25367.0,1098.0,L,Lvl long,18.0,0.1204
18 Feb 26,25416.0,25451.0,1233.0,L,Lvl long,18.0,0.1348
18 Feb 26,25396.0,25363.5,1143.0,S,Lvl short,18.0,0.125
20 Feb 26,25420.0,25449.25,1026.0,L,Lvl long,18.0,0.1121
20 Feb 26,25452.25,25483.25,1089.0,L,Lvl long,18.0,0.1189
23 Feb 26,25343.5,25315.5,981.0,S,Lvl short,18.0,0.1075
23 Feb 26,25306.0,25336.25,1062.0,L,Lvl long,18.0,0.1166
24 Feb 26,25381.75,25322.0,-2178.0,L,Lvl long,18.0,-0.2384
24 Feb 26,25344.0,25370.25,918.0,L,Lvl long,18.0,0.1006
25 Feb 26,25564.75,25525.0,1404.0,S,Lvl short,18.0,0.1526
25 Feb 26,25560.25,25603.25,1521.0,L,Lvl long,18.0,0.1653
25 Feb 26,25828.5,25788.25,1422.0,S,Lvl short,18.0,0.1529
26 Feb 26,25808.5,25868.25,-2178.0,S,Lvl short,18.0,-0.2344
26 Feb 26,25856.75,25886.0,1026.0,L,Lvl long,18.0,0.1102
26 Feb 26,25874.75,25908.25,1179.0,L,Lvl long,18.0,0.1266
27 Feb 26,25492.25,25458.25,1197.0,S,Lvl short,18.0,0.1304
01 Mar 26,25304.5,25273.25,1098.0,S,Lvl short,18.0,0.1205
03 Mar 26,25160.5,25121.25,1386.0,S,Lvl short,18.0,0.153
04 Mar 26,25094.25,25051.25,1521.0,S,Lvl short,18.0,0.1684
05 Mar 26,25584.5,25550.25,1206.0,S,Lvl short,18.0,0.1309
05 Mar 26,25544.25,25604.0,-2178.0,S,Lvl short,18.0,-0.2368
05 Mar 26,25611.0,25576.5,1215.0,S,Lvl short,18.0,0.1318
05 Mar 26,25559.5,25589.0,1035.0,L,Lvl long,18.0,0.1125
05 Mar 26,25579.0,25611.5,1143.0,L,Lvl long,18.0,0.1241
05 Mar 26,25592.0,25625.0,1161.0,L,Lvl long,18.0,0.126
06 Mar 26,25566.5,25527.75,1368.0,S,Lvl short,18.0,0.1486
06 Mar 26,25464.0,25429.5,1215.0,S,Lvl short,18.0,0.1325
06 Mar 26,25456.5,25419.5,1305.0,S,Lvl short,18.0,0.1424
09 Mar 26,24725.5,24765.25,1404.0,L,Lvl long,18.0,0.1577
09 Mar 26,24774.5,24808.5,1197.0,L,Lvl long,18.0,0.1342
09 Mar 26,24890.0,24935.5,1611.0,L,Lvl long,18.0,0.1798
10 Mar 26,25515.0,25481.75,1170.0,S,Lvl short,18.0,0.1274
10 Mar 26,25566.25,25593.25,945.0,L,Lvl long,18.0,0.1027
11 Mar 26,25531.75,25495.75,1269.0,S,Lvl short,18.0,0.1381
11 Mar 26,25489.25,25441.5,1692.0,S,Lvl short,18.0,0.1844
11 Mar 26,25437.5,25497.25,-2178.0,S,Lvl short,18.0,-0.2378
11 Mar 26,25497.25,25460.5,1296.0,S,Lvl short,18.0,0.1412
12 Mar 26,25383.0,25323.25,-2178.0,L,Lvl long,18.0,-0.2383
12 Mar 26,25407.5,25347.75,-2178.0,L,Lvl long,18.0,-0.2381
13 Mar 26,25144.5,25084.75,-2178.0,L,Lvl long,18.0,-0.2406
13 Mar 26,25086.5,25051.25,1242.0,S,Lvl short,18.0,0.1375
13 Mar 26,25029.75,25061.75,1125.0,L,Lvl long,18.0,0.1249
13 Mar 26,25081.25,25114.0,1152.0,L,Lvl long,18.0,0.1276
15 Mar 26,24868.25,24928.0,-2178.0,S,Lvl short,18.0,-0.2433
15 Mar 26,25002.5,25046.75,1566.0,L,Lvl long,18.0,0.174
16 Mar 26,25031.0,25000.75,1062.0,S,Lvl short,18.0,0.1179
16 Mar 26,25013.25,25055.5,1494.0,L,Lvl long,18.0,0.1659
17 Mar 26,25329.25,25372.0,1512.0,L,Lvl long,18.0,0.1658
18 Mar 26,25410.0,25441.0,1089.0,L,Lvl long,18.0,0.119
18 Mar 26,25463.5,25403.75,-2178.0,L,Lvl long,18.0,-0.2376
19 Mar 26,24887.5,24843.25,1566.0,S,Lvl short,18.0,0.1748
19 Mar 26,24805.75,24678.5,4554.0,S,Lvl short,18.0,0.51
20 Mar 26,24754.75,24721.25,1179.0,S,Lvl short,18.0,0.1323
20 Mar 26,24735.75,24795.5,-2178.0,S,Lvl short,18.0,-0.2446
23 Mar 26,24268.25,24136.75,4707.0,S,Lvl short,18.0,0.5388
23 Mar 26,24106.25,24166.0,-2178.0,S,Lvl short,18.0,-0.251
25 Mar 26,24710.25,24772.25,2205.0,L,Lvl long,18.0,0.2479
25 Mar 26,24619.5,24584.0,1251.0,S,Lvl short,18.0,0.1411
25 Mar 26,24585.75,24645.5,-2178.0,S,Lvl short,18.0,-0.2461
26 Mar 26,24548.5,24514.25,1206.0,S,Lvl short,18.0,0.1365
26 Mar 26,24436.75,24405.75,1089.0,S,Lvl short,18.0,0.1238
30 Mar 26,23583.25,23625.25,1485.0,L,Lvl long,18.0,0.1749
30 Mar 26,23356.0,23415.75,-2178.0,S,Lvl short,18.0,-0.259
30 Mar 26,23488.75,23529.5,1440.0,L,Lvl long,18.0,0.1703
31 Mar 26,23625.75,23655.0,1026.0,L,Lvl long,18.0,0.1206
31 Mar 26,23617.75,23643.5,900.0,L,Lvl long,18.0,0.1059
31 Mar 26,23598.0,23538.25,-2178.0,L,Lvl long,18.0,-0.2564
01 Apr 26,24439.5,24473.5,1197.0,L,Lvl long,18.0,0.1361
02 Apr 26,24501.5,24529.0,963.0,L,Lvl long,18.0,0.1092
03 Apr 26,24462.5,24430.25,1134.0,S,Lvl short,18.0,0.1288
06 Apr 26,24663.75,24604.0,-2178.0,L,Lvl long,18.0,-0.2453
06 Apr 26,24605.0,24569.75,1242.0,S,Lvl short,18.0,0.1402
06 Apr 26,24624.25,24585.0,1386.0,S,Lvl short,18.0,0.1563
06 Apr 26,24573.0,24526.5,1647.0,S,Lvl short,18.0,0.1862
07 Apr 26,24545.5,24511.25,1206.0,S,Lvl short,18.0,0.1365
07 Apr 26,24518.0,24577.75,-2178.0,S,Lvl short,18.0,-0.2468
07 Apr 26,24602.0,24559.0,1521.0,S,Lvl short,18.0,0.1717
09 Apr 26,25325.75,25266.0,-2178.0,L,Lvl long,18.0,-0.2389
09 Apr 26,25292.25,25323.0,1080.0,L,Lvl long,18.0,0.1186
09 Apr 26,25537.75,25572.75,1233.0,L,Lvl long,18.0,0.1341
10 Apr 26,25567.25,25507.5,-2178.0,L,Lvl long,18.0,-0.2366
10 Apr 26,25569.5,25570.0,-9.0,L,Lvl long,18.0,-0.001
14 Apr 26,25869.0,25899.5,1071.0,L,Lvl long,18.0,0.115
